Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Firozabad,83,3,1,0,
2020-04-27,Uttar Pradesh,Firozabad,100,3,1,0,
2020-04-28,Uttar Pradesh,Firozabad,100,3,1,0,
2020-04-29,Uttar Pradesh,Firozabad,110,10,2,0,
2020-04-30,Uttar Pradesh,Firozabad,111,10,2,0,
2020-05-01,Uttar Pradesh,Firozabad,124,23,2,0,
2020-05-02,Uttar Pradesh,Firozabad,137,33,2,0,
2020-05-03,Uttar Pradesh,Firozabad,147,40,2,0,
2020-05-04,Uttar Pradesh,Firozabad,158,41,2,0,
2020-05-05,Uttar Pradesh,Firozabad,165,41,3,0,
2020-05-06,Uttar Pradesh,Firozabad,177,48,3,0,
2020-05-07,Uttar Pradesh,Firozabad,178,60,3,0,
2020-05-08,Uttar Pradesh,Firozabad,184,77,4,0,
2020-05-09,Uttar Pradesh,Firozabad,191,83,4,0,
2020-05-10,Uttar Pradesh,Firozabad,193,83,4,0,
2020-05-11,Uttar Pradesh,Firozabad,193,89,4,0,
2020-05-12,Uttar Pradesh,Firozabad,194,99,4,0,
2020-05-13,Uttar Pradesh,Firozabad,194,111,4,0,
2020-05-14,Uttar Pradesh,Firozabad,194,119,4,0,
2020-05-15,Uttar Pradesh,Firozabad,196,135,4,0,
2020-05-16,Uttar Pradesh,Firozabad,199,158,4,0,
2020-05-17,Uttar Pradesh,Firozabad,200,166,4,0,
2020-05-18,Uttar Pradesh,Firozabad,203,174,4,0,
2020-05-19,Uttar Pradesh,Firozabad,203,177,5,0,
2020-05-20,Uttar Pradesh,Firozabad,204,181,5,0,
2020-05-21,Uttar Pradesh,Firozabad,204,184,6,0,
2020-05-22,Uttar Pradesh,Firozabad,208,185,6,0,
2020-05-23,Uttar Pradesh,Firozabad,208,187,7,0,
2020-05-24,Uttar Pradesh,Firozabad,209,188,8,0,
2020-05-25,Uttar Pradesh,Firozabad,219,189,8,0,
2020-05-26,Uttar Pradesh,Firozabad,227,190,9,0,
2020-05-27,Uttar Pradesh,Firozabad,230,192,9,0,
2020-05-28,Uttar Pradesh,Firozabad,238,195,10,0,
2020-05-29,Uttar Pradesh,Firozabad,245,197,10,0,
2020-05-30,Uttar Pradesh,Firozabad,254,197,13,0,
2020-05-31,Uttar Pradesh,Firozabad,273,197,13,0,
2020-06-01,Uttar Pradesh,Firozabad,273,200,13,0,
2020-06-02,Uttar Pradesh,Firozabad,287,202,13,0,
2020-06-03,Uttar Pradesh,Firozabad,288,202,13,0,
2020-06-04,Uttar Pradesh,Firozabad,293,200,16,0,
2020-06-05,Uttar Pradesh,Firozabad,304,203,16,0,
2020-06-06,Uttar Pradesh,Firozabad,313,217,18,0,
2020-06-07,Uttar Pradesh,Firozabad,316,223,18,0,
2020-06-08,Uttar Pradesh,Firozabad,319,224,18,0,
2020-06-09,Uttar Pradesh,Firozabad,319,231,18,0,
2020-06-10,Uttar Pradesh,Firozabad,324,242,18,0,
2020-06-11,Uttar Pradesh,Firozabad,337,249,18,0,
2020-06-12,Uttar Pradesh,Firozabad,359,253,19,0,
2020-06-13,Uttar Pradesh,Firozabad,362,262,19,0,
2020-06-14,Uttar Pradesh,Firozabad,374,276,19,0,
2020-06-15,Uttar Pradesh,Firozabad,384,278,19,0,
2020-06-16,Uttar Pradesh,Firozabad,396,287,19,0,
2020-06-17,Uttar Pradesh,Firozabad,410,296,19,0,
2020-06-18,Uttar Pradesh,Firozabad,427,304,20,0,
2020-06-19,Uttar Pradesh,Firozabad,444,304,20,0,
2020-06-20,Uttar Pradesh,Firozabad,447,319,20,0,
2020-06-21,Uttar Pradesh,Firozabad,452,324,20,0,
2020-06-22,Uttar Pradesh,Firozabad,462,327,20,0,
2020-06-23,Uttar Pradesh,Firozabad,474,341,21,0,
2020-06-24,Uttar Pradesh,Firozabad,478,345,21,0,
2020-06-25,Uttar Pradesh,Firozabad,498,355,21,0,
2020-06-26,Uttar Pradesh,Firozabad,503,367,22,0,
2020-06-27,Uttar Pradesh,Firozabad,507,400,23,0,
2020-06-28,Uttar Pradesh,Firozabad,509,409,23,0,
2020-06-29,Uttar Pradesh,Firozabad,512,418,24,0,
2020-06-30,Uttar Pradesh,Firozabad,516,430,25,0,
2020-07-01,Uttar Pradesh,Firozabad,519,432,25,0,
2020-07-02,Uttar Pradesh,Firozabad,520,444,26,0,
2020-07-03,Uttar Pradesh,Firozabad,521,450,26,0,
2020-07-04,Uttar Pradesh,Firozabad,528,451,26,0,
2020-07-05,Uttar Pradesh,Firozabad,529,456,27,0,
2020-07-06,Uttar Pradesh,Firozabad,536,471,29,0,
2020-07-07,Uttar Pradesh,Firozabad,540,478,30,0,
2020-07-08,Uttar Pradesh,Firozabad,545,482,30,0,
2020-07-09,Uttar Pradesh,Firozabad,546,488,30,0,
2020-07-10,Uttar Pradesh,Firozabad,546,489,30,0,
2020-07-11,Uttar Pradesh,Firozabad,545,490,30,0,12759.0
2020-07-12,Uttar Pradesh,Firozabad,545,494,30,0,13274.0
2020-07-13,Uttar Pradesh,Firozabad,555,496,31,0,14731.0
2020-07-14,Uttar Pradesh,Firozabad,575,500,32,0,14885.0
2020-07-15,Uttar Pradesh,Firozabad,581,501,33,0,14885.0
2020-07-16,Uttar Pradesh,Firozabad,585,502,34,0,15437.0
2020-07-17,Uttar Pradesh,Firozabad,589,502,35,0,16136.0
2020-07-18,Uttar Pradesh,Firozabad,592,509,36,0,16550.0
2020-07-19,Uttar Pradesh,Firozabad,596,511,36,0,16927.0
2020-07-20,Uttar Pradesh,Firozabad,601,514,37,0,17235.0
2020-07-21,Uttar Pradesh,Firozabad,606,523,37,0,17731.0
2020-07-22,Uttar Pradesh,Firozabad,611,533,37,0,18646.0
2020-07-23,Uttar Pradesh,Firozabad,620,540,39,0,18881.0
2020-07-24,Uttar Pradesh,Firozabad,629,542,39,0,19103.0
2020-07-25,Uttar Pradesh,Firozabad,648,544,41,0,20105.0
2020-07-26,Uttar Pradesh,Firozabad,665,548,41,0,21196.0
2020-07-27,Uttar Pradesh,Firozabad,676,556,41,0,21244.0
2020-07-28,Uttar Pradesh,Firozabad,693,560,41,0,21244.0
2020-07-29,Uttar Pradesh,Firozabad,700,564,41,0,22129.0
2020-07-30,Uttar Pradesh,Firozabad,702,565,41,0,22685.0
