Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Ghaziabad,58,16,0,0,
2020-04-27,Uttar Pradesh,Ghaziabad,58,31,0,0,
2020-04-28,Uttar Pradesh,Ghaziabad,60,31,0,0,
2020-04-29,Uttar Pradesh,Ghaziabad,61,31,0,0,
2020-04-30,Uttar Pradesh,Ghaziabad,62,44,0,0,
2020-05-01,Uttar Pradesh,Ghaziabad,65,44,1,0,
2020-05-02,Uttar Pradesh,Ghaziabad,68,44,1,0,
2020-05-03,Uttar Pradesh,Ghaziabad,82,50,1,0,
2020-05-04,Uttar Pradesh,Ghaziabad,94,50,2,0,
2020-05-05,Uttar Pradesh,Ghaziabad,104,52,2,0,
2020-05-06,Uttar Pradesh,Ghaziabad,110,52,2,0,
2020-05-07,Uttar Pradesh,Ghaziabad,116,54,2,0,
2020-05-08,Uttar Pradesh,Ghaziabad,126,56,2,0,
2020-05-09,Uttar Pradesh,Ghaziabad,132,75,2,0,
2020-05-10,Uttar Pradesh,Ghaziabad,141,75,2,0,
2020-05-11,Uttar Pradesh,Ghaziabad,145,75,2,0,
2020-05-12,Uttar Pradesh,Ghaziabad,147,75,2,0,
2020-05-13,Uttar Pradesh,Ghaziabad,150,75,2,0,
2020-05-14,Uttar Pradesh,Ghaziabad,169,83,2,0,
2020-05-15,Uttar Pradesh,Ghaziabad,172,83,2,0,
2020-05-16,Uttar Pradesh,Ghaziabad,179,106,2,0,
2020-05-17,Uttar Pradesh,Ghaziabad,188,107,2,0,
2020-05-18,Uttar Pradesh,Ghaziabad,192,132,2,0,
2020-05-19,Uttar Pradesh,Ghaziabad,194,132,2,0,
2020-05-20,Uttar Pradesh,Ghaziabad,199,151,2,0,
2020-05-21,Uttar Pradesh,Ghaziabad,208,157,2,0,
2020-05-22,Uttar Pradesh,Ghaziabad,214,158,2,0,
2020-05-23,Uttar Pradesh,Ghaziabad,226,164,2,0,
2020-05-24,Uttar Pradesh,Ghaziabad,232,172,2,0,
2020-05-25,Uttar Pradesh,Ghaziabad,238,189,2,0,
2020-05-26,Uttar Pradesh,Ghaziabad,243,193,2,0,
2020-05-27,Uttar Pradesh,Ghaziabad,252,196,3,0,
2020-05-28,Uttar Pradesh,Ghaziabad,266,197,4,0,
2020-05-29,Uttar Pradesh,Ghaziabad,278,202,4,0,
2020-05-30,Uttar Pradesh,Ghaziabad,295,202,4,0,
2020-05-31,Uttar Pradesh,Ghaziabad,328,211,4,0,
2020-06-01,Uttar Pradesh,Ghaziabad,328,214,4,0,
2020-06-02,Uttar Pradesh,Ghaziabad,345,217,5,0,
2020-06-03,Uttar Pradesh,Ghaziabad,348,221,5,0,
2020-06-04,Uttar Pradesh,Ghaziabad,365,232,7,0,
2020-06-05,Uttar Pradesh,Ghaziabad,384,245,9,0,
2020-06-06,Uttar Pradesh,Ghaziabad,403,248,9,0,
2020-06-07,Uttar Pradesh,Ghaziabad,449,273,9,0,
2020-06-08,Uttar Pradesh,Ghaziabad,490,275,9,0,
2020-06-09,Uttar Pradesh,Ghaziabad,531,278,11,0,
2020-06-10,Uttar Pradesh,Ghaziabad,538,293,14,0,
2020-06-11,Uttar Pradesh,Ghaziabad,554,329,17,0,
2020-06-12,Uttar Pradesh,Ghaziabad,581,333,19,0,
2020-06-13,Uttar Pradesh,Ghaziabad,601,336,20,0,
2020-06-14,Uttar Pradesh,Ghaziabad,631,339,20,0,
2020-06-15,Uttar Pradesh,Ghaziabad,646,356,22,0,
2020-06-16,Uttar Pradesh,Ghaziabad,673,369,22,0,
2020-06-17,Uttar Pradesh,Ghaziabad,706,374,26,0,
2020-06-18,Uttar Pradesh,Ghaziabad,744,413,34,0,
2020-06-19,Uttar Pradesh,Ghaziabad,783,420,39,0,
2020-06-20,Uttar Pradesh,Ghaziabad,818,423,41,0,
2020-06-21,Uttar Pradesh,Ghaziabad,877,472,43,0,
2020-06-22,Uttar Pradesh,Ghaziabad,942,497,47,0,
2020-06-23,Uttar Pradesh,Ghaziabad,976,513,49,0,
2020-06-24,Uttar Pradesh,Ghaziabad,1089,539,49,0,
2020-06-25,Uttar Pradesh,Ghaziabad,1175,551,49,0,
2020-06-26,Uttar Pradesh,Ghaziabad,1264,566,50,0,
2020-06-27,Uttar Pradesh,Ghaziabad,1333,603,50,0,
2020-06-28,Uttar Pradesh,Ghaziabad,1393,628,50,0,
2020-06-29,Uttar Pradesh,Ghaziabad,1463,667,51,0,
2020-06-30,Uttar Pradesh,Ghaziabad,1615,738,55,0,
2020-07-01,Uttar Pradesh,Ghaziabad,1668,761,56,0,
2020-07-02,Uttar Pradesh,Ghaziabad,1797,809,57,0,
2020-07-03,Uttar Pradesh,Ghaziabad,1937,833,59,0,
2020-07-04,Uttar Pradesh,Ghaziabad,2023,843,62,0,
2020-07-05,Uttar Pradesh,Ghaziabad,2205,940,62,0,
2020-07-06,Uttar Pradesh,Ghaziabad,2283,970,62,0,
2020-07-07,Uttar Pradesh,Ghaziabad,2430,977,63,0,
2020-07-08,Uttar Pradesh,Ghaziabad,2612,1072,63,0,
2020-07-09,Uttar Pradesh,Ghaziabad,2740,1324,64,0,
2020-07-10,Uttar Pradesh,Ghaziabad,2863,1459,63,0,47865.0
2020-07-11,Uttar Pradesh,Ghaziabad,3016,1747,63,0,50832.0
2020-07-12,Uttar Pradesh,Ghaziabad,3156,1772,62,0,53889.0
2020-07-13,Uttar Pradesh,Ghaziabad,3276,1966,62,0,56960.0
2020-07-14,Uttar Pradesh,Ghaziabad,3458,2101,62,0,60088.0
2020-07-15,Uttar Pradesh,Ghaziabad,3600,2131,62,0,63147.0
2020-07-16,Uttar Pradesh,Ghaziabad,3765,2205,63,0,66118.0
2020-07-17,Uttar Pradesh,Ghaziabad,3902,2279,63,0,69199.0
2020-07-18,Uttar Pradesh,Ghaziabad,3902,2305,63,0,72123.0
2020-07-19,Uttar Pradesh,Ghaziabad,3978,2583,63,0,75121.0
2020-07-20,Uttar Pradesh,Ghaziabad,4048,2679,63,0,78250.0
2020-07-21,Uttar Pradesh,Ghaziabad,4126,2780,64,0,81294.0
2020-07-22,Uttar Pradesh,Ghaziabad,4206,2843,64,0,84059.0
2020-07-23,Uttar Pradesh,Ghaziabad,4321,3242,64,0,85518.0
2020-07-24,Uttar Pradesh,Ghaziabad,4441,3468,64,0,86907.0
2020-07-25,Uttar Pradesh,Ghaziabad,4541,3564,64,0,88205.0
2020-07-26,Uttar Pradesh,Ghaziabad,4619,3623,64,0,89186.0
2020-07-27,Uttar Pradesh,Ghaziabad,4639,3628,64,0,90048.0
2020-07-28,Uttar Pradesh,Ghaziabad,4708,3859,64,0,90695.0
2020-07-29,Uttar Pradesh,Ghaziabad,4781,3930,64,0,91213.0
2020-07-30,Uttar Pradesh,Ghaziabad,4856,4012,64,0,91592.0
2020-07-31,Uttar Pradesh,Ghaziabad,4937,4114,64,0,91592.0
2020-08-01,Uttar Pradesh,Ghaziabad,5105,4168,64,0,92366.0
2020-08-02,Uttar Pradesh,Ghaziabad,5193,4249,64,0,92366.0
2020-08-03,Uttar Pradesh,Ghaziabad,5278,4285,64,0,92366.0
2020-08-04,Uttar Pradesh,Ghaziabad,5337,4345,64,0,92366.0
2020-08-05,Uttar Pradesh,Ghaziabad,5473,4441,64,0,93167.0
2020-08-06,Uttar Pradesh,Ghaziabad,5573,4475,64,0,96742.0
2020-08-07,Uttar Pradesh,Ghaziabad,5666,4564,64,0,100431.0
2020-08-08,Uttar Pradesh,Ghaziabad,5769,4660,64,0,104262.0
2020-08-09,Uttar Pradesh,Ghaziabad,5853,4754,64,0,108183.0
2020-08-10,Uttar Pradesh,Ghaziabad,5909,4855,65,0,112309.0
2020-08-11,Uttar Pradesh,Ghaziabad,6007,4928,65,0,116747.0
2020-08-12,Uttar Pradesh,Ghaziabad,6099,5035,66,0,116747.0
2020-08-13,Uttar Pradesh,Ghaziabad,6169,5118,67,0,125627.0
2020-08-14,Uttar Pradesh,Ghaziabad,6309,5170,67,0,129825.0
2020-08-15,Uttar Pradesh,Ghaziabad,6451,5358,67,0,129825.0
2020-08-16,Uttar Pradesh,Ghaziabad,6567,5438,67,0,138550.0
2020-08-17,Uttar Pradesh,Ghaziabad,6634,5489,67,0,142636.0
2020-08-18,Uttar Pradesh,Ghaziabad,6790,5652,67,0,142636.0
2020-08-19,Uttar Pradesh,Ghaziabad,6874,5708,67,0,149995.0
2020-08-20,Uttar Pradesh,Ghaziabad,6955,5785,67,0,153120.0
2020-08-21,Uttar Pradesh,Ghaziabad,7049,5846,67,0,155307.0
2020-08-22,Uttar Pradesh,Ghaziabad,7126,5917,67,0,155307.0
2020-08-23,Uttar Pradesh,Ghaziabad,7241,6069,67,0,161315.0
2020-08-24,Uttar Pradesh,Ghaziabad,7341,6204,67,0,161315.0
2020-08-25,Uttar Pradesh,Ghaziabad,7464,6264,67,0,166004.0
2020-08-26,Uttar Pradesh,Ghaziabad,7656,6352,67,0,170236.0
2020-08-27,Uttar Pradesh,Ghaziabad,7806,6516,67,0,170236.0
2020-08-28,Uttar Pradesh,Ghaziabad,7884,6555,68,0,170236.0
2020-08-29,Uttar Pradesh,Ghaziabad,8034,6611,68,0,193156.0
2020-08-30,Uttar Pradesh,Ghaziabad,8212,6756,68,0,196166.0
2020-08-31,Uttar Pradesh,Ghaziabad,8353,6832,68,0,199294.0
2020-09-01,Uttar Pradesh,Ghaziabad,8465,6976,68,0,200897.0
2020-09-02,Uttar Pradesh,Ghaziabad,8586,7054,68,0,204115.0
2020-09-03,Uttar Pradesh,Ghaziabad,8767,7449,69,0,206304.0
2020-09-04,Uttar Pradesh,Ghaziabad,8907,7536,70,0,210093.0
2020-09-05,Uttar Pradesh,Ghaziabad,9073,7770,73,0,210093.0
2020-09-06,Uttar Pradesh,Ghaziabad,9237,7840,73,0,213077.0
2020-09-07,Uttar Pradesh,Ghaziabad,9405,7896,73,0,219902.0
