Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-09,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-10,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-11,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-12,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-13,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-14,Uttar Pradesh,Hamirpur,1,0,0,0,
2020-05-15,Uttar Pradesh,Hamirpur,2,0,0,0,
2020-05-16,Uttar Pradesh,Hamirpur,2,0,0,0,
2020-05-17,Uttar Pradesh,Hamirpur,2,1,0,0,
2020-05-18,Uttar Pradesh,Hamirpur,2,1,0,0,
2020-05-19,Uttar Pradesh,Hamirpur,2,1,0,0,
2020-05-20,Uttar Pradesh,Hamirpur,2,1,0,0,
2020-05-21,Uttar Pradesh,Hamirpur,4,1,0,0,
2020-05-22,Uttar Pradesh,Hamirpur,4,1,0,0,
2020-05-23,Uttar Pradesh,Hamirpur,4,1,0,0,
2020-05-24,Uttar Pradesh,Hamirpur,4,2,0,0,
2020-05-25,Uttar Pradesh,Hamirpur,6,2,0,0,
2020-05-26,Uttar Pradesh,Hamirpur,6,2,0,0,
2020-05-27,Uttar Pradesh,Hamirpur,6,2,0,0,
2020-05-28,Uttar Pradesh,Hamirpur,6,4,0,0,
2020-05-29,Uttar Pradesh,Hamirpur,6,4,0,0,
2020-05-30,Uttar Pradesh,Hamirpur,6,4,0,0,
2020-05-31,Uttar Pradesh,Hamirpur,6,4,0,0,
2020-06-01,Uttar Pradesh,Hamirpur,5,4,0,0,
2020-06-02,Uttar Pradesh,Hamirpur,5,4,0,0,
2020-06-03,Uttar Pradesh,Hamirpur,5,4,0,0,
2020-06-04,Uttar Pradesh,Hamirpur,8,4,0,0,
2020-06-05,Uttar Pradesh,Hamirpur,8,5,0,0,
2020-06-06,Uttar Pradesh,Hamirpur,9,5,0,0,
2020-06-07,Uttar Pradesh,Hamirpur,9,5,0,0,
2020-06-08,Uttar Pradesh,Hamirpur,12,5,0,0,
2020-06-09,Uttar Pradesh,Hamirpur,15,5,0,0,
2020-06-10,Uttar Pradesh,Hamirpur,15,5,0,0,
2020-06-11,Uttar Pradesh,Hamirpur,22,5,0,0,
2020-06-12,Uttar Pradesh,Hamirpur,40,8,0,0,
2020-06-13,Uttar Pradesh,Hamirpur,40,8,0,0,
2020-06-14,Uttar Pradesh,Hamirpur,43,9,0,0,
2020-06-15,Uttar Pradesh,Hamirpur,56,9,0,0,
2020-06-16,Uttar Pradesh,Hamirpur,65,12,1,0,
2020-06-17,Uttar Pradesh,Hamirpur,65,12,1,0,
2020-06-18,Uttar Pradesh,Hamirpur,66,12,1,0,
2020-06-19,Uttar Pradesh,Hamirpur,66,15,1,0,
2020-06-20,Uttar Pradesh,Hamirpur,66,23,1,0,
2020-06-21,Uttar Pradesh,Hamirpur,66,28,1,0,
2020-06-22,Uttar Pradesh,Hamirpur,68,32,1,0,
2020-06-23,Uttar Pradesh,Hamirpur,69,38,1,0,
2020-06-24,Uttar Pradesh,Hamirpur,69,40,1,0,
2020-06-25,Uttar Pradesh,Hamirpur,69,59,1,0,
2020-06-26,Uttar Pradesh,Hamirpur,70,59,1,0,
2020-06-27,Uttar Pradesh,Hamirpur,70,62,1,0,
2020-06-28,Uttar Pradesh,Hamirpur,73,62,1,0,
2020-06-29,Uttar Pradesh,Hamirpur,74,62,1,0,
2020-06-30,Uttar Pradesh,Hamirpur,78,63,1,0,
2020-07-01,Uttar Pradesh,Hamirpur,81,63,1,0,
2020-07-02,Uttar Pradesh,Hamirpur,82,69,1,0,
2020-07-03,Uttar Pradesh,Hamirpur,84,69,1,0,
2020-07-04,Uttar Pradesh,Hamirpur,87,69,1,0,
2020-07-05,Uttar Pradesh,Hamirpur,89,69,1,0,
2020-07-06,Uttar Pradesh,Hamirpur,92,72,1,0,
2020-07-07,Uttar Pradesh,Hamirpur,100,73,2,0,
2020-07-08,Uttar Pradesh,Hamirpur,99,77,2,0,
2020-07-09,Uttar Pradesh,Hamirpur,99,77,2,0,
2020-07-10,Uttar Pradesh,Hamirpur,105,77,2,0,7736.0
2020-07-11,Uttar Pradesh,Hamirpur,105,81,2,0,7736.0
2020-07-12,Uttar Pradesh,Hamirpur,108,82,2,0,8197.0
2020-07-13,Uttar Pradesh,Hamirpur,117,83,2,0,8556.0
2020-07-14,Uttar Pradesh,Hamirpur,121,84,2,0,8863.0
2020-07-15,Uttar Pradesh,Hamirpur,128,85,2,0,9327.0
2020-07-16,Uttar Pradesh,Hamirpur,134,86,2,0,9689.0
2020-07-17,Uttar Pradesh,Hamirpur,145,89,2,0,10021.0
2020-07-18,Uttar Pradesh,Hamirpur,160,94,2,0,10356.0
2020-07-19,Uttar Pradesh,Hamirpur,162,96,4,0,10699.0
2020-07-20,Uttar Pradesh,Hamirpur,162,98,5,0,11038.0
