Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Hathras,4,4,0,0,
2020-04-27,Uttar Pradesh,Hathras,4,4,0,0,
2020-04-28,Uttar Pradesh,Hathras,4,4,0,0,
2020-04-29,Uttar Pradesh,Hathras,4,4,0,0,
2020-04-30,Uttar Pradesh,Hathras,4,4,0,0,
2020-05-01,Uttar Pradesh,Hathras,5,4,0,0,
2020-05-02,Uttar Pradesh,Hathras,6,4,0,0,
2020-05-03,Uttar Pradesh,Hathras,7,4,0,0,
2020-05-04,Uttar Pradesh,Hathras,7,4,0,0,
2020-05-05,Uttar Pradesh,Hathras,7,4,0,0,
2020-05-06,Uttar Pradesh,Hathras,7,4,0,0,
2020-05-07,Uttar Pradesh,Hathras,9,4,0,0,
2020-05-08,Uttar Pradesh,Hathras,9,4,0,0,
2020-05-09,Uttar Pradesh,Hathras,9,4,0,0,
2020-05-10,Uttar Pradesh,Hathras,9,4,0,0,
2020-05-11,Uttar Pradesh,Hathras,19,4,0,0,
2020-05-12,Uttar Pradesh,Hathras,19,5,0,0,
2020-05-13,Uttar Pradesh,Hathras,19,5,0,0,
2020-05-14,Uttar Pradesh,Hathras,19,5,0,0,
2020-05-15,Uttar Pradesh,Hathras,20,8,0,0,
2020-05-16,Uttar Pradesh,Hathras,20,8,0,0,
2020-05-17,Uttar Pradesh,Hathras,20,8,0,0,
2020-05-18,Uttar Pradesh,Hathras,20,8,0,0,
2020-05-19,Uttar Pradesh,Hathras,20,8,0,0,
2020-05-20,Uttar Pradesh,Hathras,20,9,0,0,
2020-05-21,Uttar Pradesh,Hathras,20,18,0,0,
2020-05-22,Uttar Pradesh,Hathras,21,18,0,0,
2020-05-23,Uttar Pradesh,Hathras,22,18,0,0,
2020-05-24,Uttar Pradesh,Hathras,22,20,0,0,
2020-05-25,Uttar Pradesh,Hathras,22,20,0,0,
2020-05-26,Uttar Pradesh,Hathras,22,20,0,0,
2020-05-27,Uttar Pradesh,Hathras,22,20,0,0,
2020-05-28,Uttar Pradesh,Hathras,22,20,0,0,
2020-05-29,Uttar Pradesh,Hathras,23,20,0,0,
2020-05-30,Uttar Pradesh,Hathras,28,20,0,0,
2020-05-31,Uttar Pradesh,Hathras,28,20,0,0,
2020-06-01,Uttar Pradesh,Hathras,33,20,0,0,
2020-06-02,Uttar Pradesh,Hathras,34,20,0,0,
2020-06-03,Uttar Pradesh,Hathras,35,20,0,0,
2020-06-04,Uttar Pradesh,Hathras,35,20,0,0,
2020-06-05,Uttar Pradesh,Hathras,35,22,0,0,
2020-06-06,Uttar Pradesh,Hathras,36,22,1,0,
2020-06-07,Uttar Pradesh,Hathras,36,22,1,0,
2020-06-08,Uttar Pradesh,Hathras,42,22,1,0,
2020-06-09,Uttar Pradesh,Hathras,45,22,1,0,
2020-06-10,Uttar Pradesh,Hathras,47,24,1,0,
2020-06-11,Uttar Pradesh,Hathras,49,27,2,0,
2020-06-12,Uttar Pradesh,Hathras,56,27,2,0,
2020-06-13,Uttar Pradesh,Hathras,65,28,2,0,
2020-06-14,Uttar Pradesh,Hathras,78,32,2,0,
2020-06-15,Uttar Pradesh,Hathras,81,32,2,0,
2020-06-16,Uttar Pradesh,Hathras,85,37,2,0,
2020-06-17,Uttar Pradesh,Hathras,85,37,2,0,
2020-06-18,Uttar Pradesh,Hathras,108,37,2,0,
2020-06-19,Uttar Pradesh,Hathras,111,42,2,0,
2020-06-20,Uttar Pradesh,Hathras,112,49,2,0,
2020-06-21,Uttar Pradesh,Hathras,130,67,2,0,
2020-06-22,Uttar Pradesh,Hathras,143,69,3,0,
2020-06-23,Uttar Pradesh,Hathras,144,71,3,0,
2020-06-24,Uttar Pradesh,Hathras,143,77,3,0,
2020-06-25,Uttar Pradesh,Hathras,151,99,3,0,
2020-06-26,Uttar Pradesh,Hathras,163,99,3,0,
2020-06-27,Uttar Pradesh,Hathras,167,103,3,0,
2020-06-28,Uttar Pradesh,Hathras,168,123,3,0,
2020-06-29,Uttar Pradesh,Hathras,168,127,3,0,
2020-06-30,Uttar Pradesh,Hathras,171,132,3,0,
2020-07-01,Uttar Pradesh,Hathras,175,132,3,0,
2020-07-02,Uttar Pradesh,Hathras,186,140,3,0,
2020-07-03,Uttar Pradesh,Hathras,191,143,3,0,
2020-07-04,Uttar Pradesh,Hathras,194,148,3,0,
2020-07-05,Uttar Pradesh,Hathras,195,152,3,0,
2020-07-06,Uttar Pradesh,Hathras,198,158,3,0,
2020-07-07,Uttar Pradesh,Hathras,199,160,3,0,
2020-07-08,Uttar Pradesh,Hathras,200,162,3,0,
2020-07-09,Uttar Pradesh,Hathras,200,178,3,0,
2020-07-10,Uttar Pradesh,Hathras,202,180,4,0,5600.0
