Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Jalaun,1,0,0,0,
2020-04-27,Uttar Pradesh,Jalaun,2,0,0,0,
2020-04-28,Uttar Pradesh,Jalaun,3,0,0,0,
2020-04-29,Uttar Pradesh,Jalaun,3,0,0,0,
2020-04-30,Uttar Pradesh,Jalaun,3,0,0,0,
2020-05-01,Uttar Pradesh,Jalaun,3,0,0,0,
2020-05-02,Uttar Pradesh,Jalaun,4,0,0,0,
2020-05-03,Uttar Pradesh,Jalaun,5,0,0,0,
2020-05-04,Uttar Pradesh,Jalaun,5,0,0,0,
2020-05-05,Uttar Pradesh,Jalaun,5,0,0,0,
2020-05-06,Uttar Pradesh,Jalaun,8,0,0,0,
2020-05-07,Uttar Pradesh,Jalaun,8,0,0,0,
2020-05-08,Uttar Pradesh,Jalaun,10,0,0,0,
2020-05-09,Uttar Pradesh,Jalaun,30,0,0,0,
2020-05-10,Uttar Pradesh,Jalaun,30,0,0,0,
2020-05-11,Uttar Pradesh,Jalaun,31,0,0,0,
2020-05-12,Uttar Pradesh,Jalaun,37,0,0,0,
2020-05-13,Uttar Pradesh,Jalaun,37,0,0,0,
2020-05-14,Uttar Pradesh,Jalaun,36,0,0,0,
2020-05-15,Uttar Pradesh,Jalaun,36,1,1,0,
2020-05-16,Uttar Pradesh,Jalaun,40,1,1,0,
2020-05-17,Uttar Pradesh,Jalaun,40,2,1,0,
2020-05-18,Uttar Pradesh,Jalaun,40,3,1,0,
2020-05-19,Uttar Pradesh,Jalaun,41,3,2,0,
2020-05-20,Uttar Pradesh,Jalaun,41,14,2,0,
2020-05-21,Uttar Pradesh,Jalaun,42,28,2,0,
2020-05-22,Uttar Pradesh,Jalaun,42,28,2,0,
2020-05-23,Uttar Pradesh,Jalaun,42,34,2,0,
2020-05-24,Uttar Pradesh,Jalaun,43,35,2,0,
2020-05-25,Uttar Pradesh,Jalaun,43,35,2,0,
2020-05-26,Uttar Pradesh,Jalaun,43,35,2,0,
2020-05-27,Uttar Pradesh,Jalaun,43,39,2,0,
2020-05-28,Uttar Pradesh,Jalaun,43,39,2,0,
2020-05-29,Uttar Pradesh,Jalaun,43,39,2,0,
2020-05-30,Uttar Pradesh,Jalaun,43,39,2,0,
2020-05-31,Uttar Pradesh,Jalaun,43,39,2,0,
2020-06-01,Uttar Pradesh,Jalaun,44,39,2,0,
2020-06-02,Uttar Pradesh,Jalaun,44,41,2,0,
2020-06-03,Uttar Pradesh,Jalaun,44,41,2,0,
2020-06-04,Uttar Pradesh,Jalaun,47,41,2,0,
2020-06-05,Uttar Pradesh,Jalaun,48,41,3,0,
2020-06-06,Uttar Pradesh,Jalaun,49,41,3,0,
2020-06-07,Uttar Pradesh,Jalaun,49,41,3,0,
2020-06-08,Uttar Pradesh,Jalaun,60,41,3,0,
2020-06-09,Uttar Pradesh,Jalaun,70,41,4,0,
2020-06-10,Uttar Pradesh,Jalaun,72,41,4,0,
2020-06-11,Uttar Pradesh,Jalaun,81,41,4,0,
2020-06-12,Uttar Pradesh,Jalaun,90,41,4,0,
2020-06-13,Uttar Pradesh,Jalaun,98,41,4,0,
2020-06-14,Uttar Pradesh,Jalaun,100,41,4,0,
2020-06-15,Uttar Pradesh,Jalaun,109,42,5,0,
2020-06-16,Uttar Pradesh,Jalaun,109,42,5,0,
2020-06-17,Uttar Pradesh,Jalaun,112,42,5,0,
2020-06-18,Uttar Pradesh,Jalaun,120,46,5,0,
2020-06-19,Uttar Pradesh,Jalaun,125,47,5,0,
2020-06-20,Uttar Pradesh,Jalaun,136,53,5,0,
2020-06-21,Uttar Pradesh,Jalaun,140,60,5,0,
2020-06-22,Uttar Pradesh,Jalaun,143,61,5,0,
2020-06-23,Uttar Pradesh,Jalaun,148,73,6,0,
2020-06-24,Uttar Pradesh,Jalaun,158,88,6,0,
2020-06-25,Uttar Pradesh,Jalaun,160,88,6,0,
2020-06-26,Uttar Pradesh,Jalaun,161,88,6,0,
2020-06-27,Uttar Pradesh,Jalaun,165,99,6,0,
2020-06-28,Uttar Pradesh,Jalaun,170,108,6,0,
2020-06-29,Uttar Pradesh,Jalaun,174,113,6,0,
2020-06-30,Uttar Pradesh,Jalaun,187,119,6,0,
2020-07-01,Uttar Pradesh,Jalaun,188,122,7,0,
2020-07-02,Uttar Pradesh,Jalaun,193,126,7,0,
2020-07-03,Uttar Pradesh,Jalaun,196,132,7,0,
2020-07-04,Uttar Pradesh,Jalaun,201,142,7,0,
2020-07-05,Uttar Pradesh,Jalaun,201,151,7,0,
2020-07-06,Uttar Pradesh,Jalaun,201,152,7,0,
2020-07-07,Uttar Pradesh,Jalaun,201,152,7,0,
2020-07-08,Uttar Pradesh,Jalaun,201,155,7,0,
2020-07-09,Uttar Pradesh,Jalaun,204,164,7,0,
2020-07-10,Uttar Pradesh,Jalaun,206,168,8,0,7137.0
2020-07-11,Uttar Pradesh,Jalaun,206,171,8,0,7137.0
2020-07-12,Uttar Pradesh,Jalaun,209,177,8,0,7478.0
2020-07-13,Uttar Pradesh,Jalaun,212,178,8,0,7754.0
2020-07-14,Uttar Pradesh,Jalaun,213,184,8,0,7938.0
2020-07-15,Uttar Pradesh,Jalaun,214,184,8,0,8214.0
2020-07-16,Uttar Pradesh,Jalaun,217,186,8,0,8415.0
2020-07-17,Uttar Pradesh,Jalaun,236,187,8,0,8604.0
2020-07-18,Uttar Pradesh,Jalaun,239,187,8,0,8804.0
2020-07-19,Uttar Pradesh,Jalaun,239,188,8,0,8906.0
2020-07-20,Uttar Pradesh,Jalaun,249,191,8,0,9072.0
2020-07-21,Uttar Pradesh,Jalaun,251,191,8,0,9335.0
2020-07-22,Uttar Pradesh,Jalaun,253,193,8,0,9606.0
2020-07-23,Uttar Pradesh,Jalaun,257,198,8,0,9869.0
2020-07-24,Uttar Pradesh,Jalaun,260,200,8,0,10069.0
2020-07-25,Uttar Pradesh,Jalaun,266,221,8,0,10233.0
2020-07-26,Uttar Pradesh,Jalaun,267,220,9,0,10450.0
2020-07-27,Uttar Pradesh,Jalaun,307,221,9,0,10655.0
2020-07-28,Uttar Pradesh,Jalaun,326,227,9,0,10805.0
2020-07-29,Uttar Pradesh,Jalaun,347,233,9,0,11206.0
2020-07-30,Uttar Pradesh,Jalaun,373,233,9,0,11410.0
2020-07-31,Uttar Pradesh,Jalaun,417,238,9,0,11516.0
2020-08-01,Uttar Pradesh,Jalaun,449,243,9,0,11916.0
2020-08-02,Uttar Pradesh,Jalaun,464,244,10,0,12079.0
2020-08-03,Uttar Pradesh,Jalaun,536,253,10,0,14005.0
2020-08-04,Uttar Pradesh,Jalaun,562,253,10,0,14005.0
2020-08-05,Uttar Pradesh,Jalaun,685,253,10,0,14005.0
2020-08-06,Uttar Pradesh,Jalaun,717,267,10,0,14005.0
2020-08-07,Uttar Pradesh,Jalaun,754,334,10,0,14005.0
2020-08-08,Uttar Pradesh,Jalaun,774,345,10,0,14005.0
2020-08-09,Uttar Pradesh,Jalaun,789,355,10,0,14005.0
2020-08-10,Uttar Pradesh,Jalaun,808,418,10,0,14005.0
2020-08-11,Uttar Pradesh,Jalaun,831,510,10,0,14005.0
2020-08-12,Uttar Pradesh,Jalaun,847,581,10,0,14005.0
2020-08-13,Uttar Pradesh,Jalaun,863,586,10,0,14005.0
2020-08-14,Uttar Pradesh,Jalaun,886,675,10,0,14005.0
2020-08-15,Uttar Pradesh,Jalaun,910,697,10,0,14005.0
2020-08-16,Uttar Pradesh,Jalaun,925,719,11,0,14005.0
2020-08-17,Uttar Pradesh,Jalaun,942,744,13,0,14005.0
2020-08-18,Uttar Pradesh,Jalaun,959,757,13,0,14005.0
2020-08-19,Uttar Pradesh,Jalaun,977,773,14,0,14005.0
2020-08-20,Uttar Pradesh,Jalaun,1010,788,14,0,14005.0
2020-08-21,Uttar Pradesh,Jalaun,1042,829,14,0,14005.0
2020-08-22,Uttar Pradesh,Jalaun,1076,844,14,0,14005.0
2020-08-23,Uttar Pradesh,Jalaun,1094,860,14,0,14005.0
2020-08-24,Uttar Pradesh,Jalaun,1111,873,14,0,14353.0
2020-08-25,Uttar Pradesh,Jalaun,1120,914,14,0,14542.0
2020-08-26,Uttar Pradesh,Jalaun,1148,918,15,0,14781.0
2020-08-27,Uttar Pradesh,Jalaun,1176,961,15,0,15087.0
2020-08-28,Uttar Pradesh,Jalaun,1210,971,15,0,15087.0
2020-08-29,Uttar Pradesh,Jalaun,1240,977,15,0,15587.0
2020-08-30,Uttar Pradesh,Jalaun,1276,990,15,0,15790.0
2020-08-31,Uttar Pradesh,Jalaun,1315,1007,15,0,49787.0
2020-09-01,Uttar Pradesh,Jalaun,1347,1058,15,0,52410.0
2020-09-02,Uttar Pradesh,Jalaun,1389,1076,15,0,55780.0
2020-09-03,Uttar Pradesh,Jalaun,1416,1107,15,0,57500.0
2020-09-04,Uttar Pradesh,Jalaun,1446,1139,15,0,58870.0
2020-09-05,Uttar Pradesh,Jalaun,1487,1169,15,0,60789.0
2020-09-06,Uttar Pradesh,Jalaun,1528,1207,15,0,62252.0
2020-09-07,Uttar Pradesh,Jalaun,1551,1224,15,0,63603.0
2020-09-08,Uttar Pradesh,Jalaun,1574,1252,15,0,64945.0
2020-09-09,Uttar Pradesh,Jalaun,1596,1286,15,0,65675.0
2020-09-10,Uttar Pradesh,Jalaun,1611,1312,15,0,67031.0
2020-09-11,Uttar Pradesh,Jalaun,1660,1336,16,0,68572.0
2020-09-12,Uttar Pradesh,Jalaun,1710,1381,16,0,70022.0
2020-09-13,Uttar Pradesh,Jalaun,1743,1405,16,0,70883.0
2020-09-14,Uttar Pradesh,Jalaun,1771,1418,17,0,71757.0
2020-09-15,Uttar Pradesh,Jalaun,1816,1448,17,0,73231.0
2020-09-16,Uttar Pradesh,Jalaun,1866,1480,20,0,74450.0
2020-09-17,Uttar Pradesh,Jalaun,1895,1504,21,0,75788.0
2020-09-18,Uttar Pradesh,Jalaun,1925,1530,23,0,76982.0
2020-09-19,Uttar Pradesh,Jalaun,1961,1556,25,0,78238.0
2020-09-20,Uttar Pradesh,Jalaun,1971,1603,25,0,79222.0
2020-09-21,Uttar Pradesh,Jalaun,1995,1633,26,0,80572.0
2020-09-22,Uttar Pradesh,Jalaun,2036,1681,26,0,82572.0
2020-09-23,Uttar Pradesh,Jalaun,2086,1706,27,0,82945.0
2020-09-24,Uttar Pradesh,Jalaun,2105,1741,27,0,83710.0
2020-09-25,Uttar Pradesh,Jalaun,2133,1790,27,0,84810.0
2020-09-26,Uttar Pradesh,Jalaun,2177,1816,27,0,85810.0
2020-09-27,Uttar Pradesh,Jalaun,2207,1846,28,0,86810.0
2020-09-28,Uttar Pradesh,Jalaun,2247,1875,28,0,88705.0
2020-09-29,Uttar Pradesh,Jalaun,2263,1886,29,0,89705.0
2020-09-30,Uttar Pradesh,Jalaun,2298,1910,30,0,90012.0
2020-10-01,Uttar Pradesh,Jalaun,2316,1943,30,0,90012.0
2020-10-02,Uttar Pradesh,Jalaun,2330,1990,30,0,90012.0
2020-10-03,Uttar Pradesh,Jalaun,2346,2024,30,0,99750.0
2020-10-04,Uttar Pradesh,Jalaun,2370,2065,30,0,100705.0
2020-10-05,Uttar Pradesh,Jalaun,2394,2099,30,0,100705.0
2020-10-06,Uttar Pradesh,Jalaun,2416,2128,30,0,100705.0
2020-10-07,Uttar Pradesh,Jalaun,2430,2149,30,0,100705.0
2020-10-08,Uttar Pradesh,Jalaun,2446,2183,30,0,100705.0
2020-10-09,Uttar Pradesh,Jalaun,2462,2214,30,0,101076.0
2020-10-10,Uttar Pradesh,Jalaun,2477,2230,31,0,102716.0
2020-10-11,Uttar Pradesh,Jalaun,2506,2252,31,0,103076.0
2020-10-12,Uttar Pradesh,Jalaun,2548,2266,31,0,104076.0
2020-10-13,Uttar Pradesh,Jalaun,2575,2281,31,0,105076.0
2020-10-14,Uttar Pradesh,Jalaun,2598,2338,31,0,105076.0
2020-10-15,Uttar Pradesh,Jalaun,2627,2361,32,0,107076.0
2020-10-16,Uttar Pradesh,Jalaun,2657,2369,32,0,108076.0
2020-10-17,Uttar Pradesh,Jalaun,2669,2382,33,0,108076.0
2020-10-18,Uttar Pradesh,Jalaun,2684,2409,33,0,108076.0
2020-10-19,Uttar Pradesh,Jalaun,2690,2439,33,0,108076.0
2020-10-20,Uttar Pradesh,Jalaun,2723,2465,33,0,109076.0
2020-10-21,Uttar Pradesh,Jalaun,2736,2495,33,0,110076.0
2020-10-22,Uttar Pradesh,Jalaun,2743,2525,33,0,119164.0
2020-10-23,Uttar Pradesh,Jalaun,2753,2541,33,0,120229.0
2020-10-24,Uttar Pradesh,Jalaun,2798,2567,33,0,121721.0
2020-10-25,Uttar Pradesh,Jalaun,2810,2597,33,0,121721.0
2020-10-26,Uttar Pradesh,Jalaun,2824,2621,33,0,123362.0
2020-10-27,Uttar Pradesh,Jalaun,2834,2635,33,0,124989.0
2020-10-28,Uttar Pradesh,Jalaun,2852,2655,33,0,125989.0
2020-10-29,Uttar Pradesh,Jalaun,2852,2655,33,0,125989.0
