Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Jaunpur,5,4,0,0,
2020-04-27,Uttar Pradesh,Jaunpur,5,4,0,0,
2020-04-28,Uttar Pradesh,Jaunpur,8,4,0,0,
2020-04-29,Uttar Pradesh,Jaunpur,8,4,0,0,
2020-04-30,Uttar Pradesh,Jaunpur,8,4,0,0,
2020-05-01,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-02,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-03,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-04,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-05,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-06,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-07,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-08,Uttar Pradesh,Jaunpur,9,5,0,0,
2020-05-09,Uttar Pradesh,Jaunpur,8,5,0,0,
2020-05-10,Uttar Pradesh,Jaunpur,8,8,0,0,
2020-05-11,Uttar Pradesh,Jaunpur,11,8,0,0,
2020-05-12,Uttar Pradesh,Jaunpur,11,8,0,0,
2020-05-13,Uttar Pradesh,Jaunpur,12,8,0,0,
2020-05-14,Uttar Pradesh,Jaunpur,13,8,0,0,
2020-05-15,Uttar Pradesh,Jaunpur,17,8,0,0,
2020-05-16,Uttar Pradesh,Jaunpur,26,8,0,0,
2020-05-17,Uttar Pradesh,Jaunpur,26,8,0,0,
2020-05-18,Uttar Pradesh,Jaunpur,30,8,0,0,
2020-05-19,Uttar Pradesh,Jaunpur,30,8,0,0,
2020-05-20,Uttar Pradesh,Jaunpur,31,10,0,0,
2020-05-21,Uttar Pradesh,Jaunpur,48,10,0,0,
2020-05-22,Uttar Pradesh,Jaunpur,91,10,2,0,
2020-05-23,Uttar Pradesh,Jaunpur,123,14,2,0,
2020-05-24,Uttar Pradesh,Jaunpur,126,14,2,0,
2020-05-25,Uttar Pradesh,Jaunpur,137,21,2,0,
2020-05-26,Uttar Pradesh,Jaunpur,138,21,2,0,
2020-05-27,Uttar Pradesh,Jaunpur,155,24,2,0,
2020-05-28,Uttar Pradesh,Jaunpur,156,24,3,0,
2020-05-29,Uttar Pradesh,Jaunpur,169,24,3,0,
2020-05-30,Uttar Pradesh,Jaunpur,169,58,3,0,
2020-05-31,Uttar Pradesh,Jaunpur,182,88,3,0,
2020-06-01,Uttar Pradesh,Jaunpur,183,88,3,0,
2020-06-02,Uttar Pradesh,Jaunpur,183,92,3,0,
2020-06-03,Uttar Pradesh,Jaunpur,193,93,3,0,
2020-06-04,Uttar Pradesh,Jaunpur,208,108,3,0,
2020-06-05,Uttar Pradesh,Jaunpur,249,109,3,0,
2020-06-06,Uttar Pradesh,Jaunpur,264,109,3,0,
2020-06-07,Uttar Pradesh,Jaunpur,285,119,3,0,
2020-06-08,Uttar Pradesh,Jaunpur,285,119,3,0,
2020-06-09,Uttar Pradesh,Jaunpur,301,150,3,0,
2020-06-10,Uttar Pradesh,Jaunpur,352,158,3,0,
2020-06-11,Uttar Pradesh,Jaunpur,372,157,3,0,
2020-06-12,Uttar Pradesh,Jaunpur,395,179,3,0,
2020-06-13,Uttar Pradesh,Jaunpur,404,207,4,0,
2020-06-14,Uttar Pradesh,Jaunpur,431,232,4,0,
2020-06-15,Uttar Pradesh,Jaunpur,440,235,5,0,
2020-06-16,Uttar Pradesh,Jaunpur,443,236,6,0,
2020-06-17,Uttar Pradesh,Jaunpur,444,251,6,0,
2020-06-18,Uttar Pradesh,Jaunpur,444,266,6,0,
2020-06-19,Uttar Pradesh,Jaunpur,456,272,6,0,
2020-06-20,Uttar Pradesh,Jaunpur,472,314,6,0,
2020-06-21,Uttar Pradesh,Jaunpur,474,325,6,0,
2020-06-22,Uttar Pradesh,Jaunpur,477,325,6,0,
2020-06-23,Uttar Pradesh,Jaunpur,482,347,7,0,
2020-06-24,Uttar Pradesh,Jaunpur,492,374,8,0,
2020-06-25,Uttar Pradesh,Jaunpur,502,386,9,0,
2020-06-26,Uttar Pradesh,Jaunpur,502,413,9,0,
2020-06-27,Uttar Pradesh,Jaunpur,507,429,9,0,
2020-06-28,Uttar Pradesh,Jaunpur,509,435,9,0,
2020-06-29,Uttar Pradesh,Jaunpur,526,446,9,0,
2020-06-30,Uttar Pradesh,Jaunpur,535,450,9,0,
2020-07-01,Uttar Pradesh,Jaunpur,540,453,9,0,
2020-07-02,Uttar Pradesh,Jaunpur,543,469,9,0,
2020-07-03,Uttar Pradesh,Jaunpur,551,469,9,0,
2020-07-04,Uttar Pradesh,Jaunpur,559,475,9,0,
2020-07-05,Uttar Pradesh,Jaunpur,591,475,9,0,
2020-07-06,Uttar Pradesh,Jaunpur,594,484,9,0,
2020-07-07,Uttar Pradesh,Jaunpur,612,484,9,0,
2020-07-08,Uttar Pradesh,Jaunpur,622,484,9,0,
2020-07-09,Uttar Pradesh,Jaunpur,631,488,9,0,
2020-07-10,Uttar Pradesh,Jaunpur,640,489,9,0,10400.0
2020-07-11,Uttar Pradesh,Jaunpur,658,497,9,0,10915.0
