Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-30,Uttar Pradesh,Kanpur Dehat,1,0,0,0,
2020-05-01,Uttar Pradesh,Kanpur Dehat,1,0,0,0,
2020-05-02,Uttar Pradesh,Kanpur Dehat,1,0,0,0,
2020-05-03,Uttar Pradesh,Kanpur Dehat,1,0,0,0,
2020-05-04,Uttar Pradesh,Kanpur Dehat,2,0,1,0,
2020-05-05,Uttar Pradesh,Kanpur Dehat,2,0,1,0,
2020-05-06,Uttar Pradesh,Kanpur Dehat,2,0,1,0,
2020-05-07,Uttar Pradesh,Kanpur Dehat,2,0,1,0,
2020-05-08,Uttar Pradesh,Kanpur Dehat,2,0,1,0,
2020-05-09,Uttar Pradesh,Kanpur Dehat,3,0,1,0,
2020-05-10,Uttar Pradesh,Kanpur Dehat,3,0,1,0,
2020-05-11,Uttar Pradesh,Kanpur Dehat,4,0,1,0,
2020-05-12,Uttar Pradesh,Kanpur Dehat,4,0,1,0,
2020-05-13,Uttar Pradesh,Kanpur Dehat,4,0,1,0,
2020-05-14,Uttar Pradesh,Kanpur Dehat,4,0,1,0,
2020-05-15,Uttar Pradesh,Kanpur Dehat,7,0,1,0,
2020-05-16,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-17,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-18,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-19,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-20,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-21,Uttar Pradesh,Kanpur Dehat,7,1,1,0,
2020-05-22,Uttar Pradesh,Kanpur Dehat,8,1,1,0,
2020-05-23,Uttar Pradesh,Kanpur Dehat,9,1,1,0,
2020-05-24,Uttar Pradesh,Kanpur Dehat,10,2,1,0,
2020-05-25,Uttar Pradesh,Kanpur Dehat,10,2,1,0,
2020-05-26,Uttar Pradesh,Kanpur Dehat,15,3,1,0,
2020-05-27,Uttar Pradesh,Kanpur Dehat,15,3,1,0,
2020-05-28,Uttar Pradesh,Kanpur Dehat,19,4,1,0,
2020-05-29,Uttar Pradesh,Kanpur Dehat,19,4,1,0,
2020-05-30,Uttar Pradesh,Kanpur Dehat,20,6,1,0,
2020-05-31,Uttar Pradesh,Kanpur Dehat,20,6,1,0,
2020-06-01,Uttar Pradesh,Kanpur Dehat,20,6,1,0,
2020-06-02,Uttar Pradesh,Kanpur Dehat,20,6,1,0,
2020-06-03,Uttar Pradesh,Kanpur Dehat,20,8,1,0,
2020-06-04,Uttar Pradesh,Kanpur Dehat,21,8,1,0,
2020-06-05,Uttar Pradesh,Kanpur Dehat,21,8,1,0,
2020-06-06,Uttar Pradesh,Kanpur Dehat,30,8,1,0,
2020-06-07,Uttar Pradesh,Kanpur Dehat,31,8,1,0,
2020-06-08,Uttar Pradesh,Kanpur Dehat,33,9,1,0,
2020-06-09,Uttar Pradesh,Kanpur Dehat,39,12,1,0,
2020-06-10,Uttar Pradesh,Kanpur Dehat,40,12,1,0,
2020-06-11,Uttar Pradesh,Kanpur Dehat,40,12,1,0,
2020-06-12,Uttar Pradesh,Kanpur Dehat,43,12,1,0,
2020-06-13,Uttar Pradesh,Kanpur Dehat,43,13,1,0,
2020-06-14,Uttar Pradesh,Kanpur Dehat,43,15,1,0,
2020-06-15,Uttar Pradesh,Kanpur Dehat,43,15,1,0,
2020-06-16,Uttar Pradesh,Kanpur Dehat,45,27,1,0,
2020-06-17,Uttar Pradesh,Kanpur Dehat,46,28,1,0,
2020-06-18,Uttar Pradesh,Kanpur Dehat,48,28,1,0,
2020-06-19,Uttar Pradesh,Kanpur Dehat,50,35,1,0,
2020-06-20,Uttar Pradesh,Kanpur Dehat,52,35,1,0,
2020-06-21,Uttar Pradesh,Kanpur Dehat,52,37,1,0,
2020-06-22,Uttar Pradesh,Kanpur Dehat,54,37,1,0,
2020-06-23,Uttar Pradesh,Kanpur Dehat,55,37,1,0,
2020-06-24,Uttar Pradesh,Kanpur Dehat,55,42,1,0,
2020-06-25,Uttar Pradesh,Kanpur Dehat,56,42,1,0,
2020-06-26,Uttar Pradesh,Kanpur Dehat,58,42,1,0,
2020-06-27,Uttar Pradesh,Kanpur Dehat,58,43,1,0,
2020-06-28,Uttar Pradesh,Kanpur Dehat,60,45,1,0,
2020-06-29,Uttar Pradesh,Kanpur Dehat,60,45,1,0,
2020-06-30,Uttar Pradesh,Kanpur Dehat,63,48,1,0,
2020-07-01,Uttar Pradesh,Kanpur Dehat,63,49,1,0,
2020-07-02,Uttar Pradesh,Kanpur Dehat,66,50,1,0,
2020-07-03,Uttar Pradesh,Kanpur Dehat,68,50,1,0,
2020-07-04,Uttar Pradesh,Kanpur Dehat,69,52,1,0,
2020-07-05,Uttar Pradesh,Kanpur Dehat,69,52,1,0,
2020-07-06,Uttar Pradesh,Kanpur Dehat,70,52,1,0,
2020-07-07,Uttar Pradesh,Kanpur Dehat,71,52,1,0,
2020-07-08,Uttar Pradesh,Kanpur Dehat,71,53,1,0,
2020-07-09,Uttar Pradesh,Kanpur Dehat,71,56,1,0,
2020-07-10,Uttar Pradesh,Kanpur Dehat,78,57,1,0,8320.0
2020-07-11,Uttar Pradesh,Kanpur Dehat,78,57,1,0,8320.0
2020-07-12,Uttar Pradesh,Kanpur Dehat,78,60,1,0,8777.0
2020-07-13,Uttar Pradesh,Kanpur Dehat,84,61,1,0,9083.0
2020-07-14,Uttar Pradesh,Kanpur Dehat,86,64,1,0,9443.0
2020-07-15,Uttar Pradesh,Kanpur Dehat,89,64,1,0,9743.0
2020-07-16,Uttar Pradesh,Kanpur Dehat,97,64,1,0,9943.0
2020-07-17,Uttar Pradesh,Kanpur Dehat,105,64,1,0,10355.0
2020-07-18,Uttar Pradesh,Kanpur Dehat,106,65,1,0,10756.0
2020-07-19,Uttar Pradesh,Kanpur Dehat,109,65,1,0,11010.0
2020-07-20,Uttar Pradesh,Kanpur Dehat,112,66,1,0,11258.0
2020-07-21,Uttar Pradesh,Kanpur Dehat,117,66,1,0,11628.0
2020-07-22,Uttar Pradesh,Kanpur Dehat,133,77,1,0,11873.0
2020-07-23,Uttar Pradesh,Kanpur Dehat,134,78,2,0,12173.0
2020-07-24,Uttar Pradesh,Kanpur Dehat,150,82,2,0,12473.0
2020-07-25,Uttar Pradesh,Kanpur Dehat,153,85,2,0,12805.0
2020-07-26,Uttar Pradesh,Kanpur Dehat,174,85,2,0,13105.0
2020-07-27,Uttar Pradesh,Kanpur Dehat,191,85,2,0,13440.0
2020-07-28,Uttar Pradesh,Kanpur Dehat,195,86,2,0,13740.0
2020-07-29,Uttar Pradesh,Kanpur Dehat,204,91,2,0,13990.0
2020-07-30,Uttar Pradesh,Kanpur Dehat,220,91,2,0,14390.0
2020-07-31,Uttar Pradesh,Kanpur Dehat,259,93,2,0,14590.0
2020-08-01,Uttar Pradesh,Kanpur Dehat,277,93,3,0,14890.0
2020-08-02,Uttar Pradesh,Kanpur Dehat,300,122,3,0,15190.0
2020-08-03,Uttar Pradesh,Kanpur Dehat,331,142,3,0,15430.0
2020-08-04,Uttar Pradesh,Kanpur Dehat,336,144,3,0,15430.0
2020-08-05,Uttar Pradesh,Kanpur Dehat,362,145,4,0,15930.0
2020-08-06,Uttar Pradesh,Kanpur Dehat,384,147,4,0,16230.0
2020-08-07,Uttar Pradesh,Kanpur Dehat,392,167,4,0,16575.0
2020-08-08,Uttar Pradesh,Kanpur Dehat,406,185,4,0,16805.0
2020-08-09,Uttar Pradesh,Kanpur Dehat,448,222,4,0,17055.0
2020-08-10,Uttar Pradesh,Kanpur Dehat,472,239,4,0,17296.0
