Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Kasganj,3,0,0,0,
2020-04-27,Uttar Pradesh,Kasganj,3,0,0,0,
2020-04-28,Uttar Pradesh,Kasganj,3,0,0,0,
2020-04-29,Uttar Pradesh,Kasganj,3,0,0,0,
2020-04-30,Uttar Pradesh,Kasganj,3,0,0,0,
2020-05-01,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-02,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-03,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-04,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-05,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-06,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-07,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-08,Uttar Pradesh,Kasganj,4,3,0,0,
2020-05-09,Uttar Pradesh,Kasganj,3,3,0,0,
2020-05-10,Uttar Pradesh,Kasganj,6,3,0,0,
2020-05-11,Uttar Pradesh,Kasganj,6,3,0,0,
2020-05-12,Uttar Pradesh,Kasganj,6,3,0,0,
2020-05-13,Uttar Pradesh,Kasganj,7,3,0,0,
2020-05-14,Uttar Pradesh,Kasganj,7,3,0,0,
2020-05-15,Uttar Pradesh,Kasganj,7,3,0,0,
2020-05-16,Uttar Pradesh,Kasganj,7,3,0,0,
2020-05-17,Uttar Pradesh,Kasganj,7,3,0,0,
2020-05-18,Uttar Pradesh,Kasganj,8,3,0,0,
2020-05-19,Uttar Pradesh,Kasganj,13,3,0,0,
2020-05-20,Uttar Pradesh,Kasganj,13,3,0,0,
2020-05-21,Uttar Pradesh,Kasganj,13,3,0,0,
2020-05-22,Uttar Pradesh,Kasganj,13,3,0,0,
2020-05-23,Uttar Pradesh,Kasganj,13,3,0,0,
2020-05-24,Uttar Pradesh,Kasganj,15,3,0,0,
2020-05-25,Uttar Pradesh,Kasganj,15,3,0,0,
2020-05-26,Uttar Pradesh,Kasganj,15,7,0,0,
2020-05-27,Uttar Pradesh,Kasganj,15,7,0,0,
2020-05-28,Uttar Pradesh,Kasganj,15,13,0,0,
2020-05-29,Uttar Pradesh,Kasganj,15,13,0,0,
2020-05-30,Uttar Pradesh,Kasganj,16,13,0,0,
2020-05-31,Uttar Pradesh,Kasganj,18,13,0,0,
2020-06-01,Uttar Pradesh,Kasganj,20,13,0,0,
2020-06-02,Uttar Pradesh,Kasganj,20,13,0,0,
2020-06-03,Uttar Pradesh,Kasganj,20,13,0,0,
2020-06-04,Uttar Pradesh,Kasganj,20,13,0,0,
2020-06-05,Uttar Pradesh,Kasganj,23,15,0,0,
2020-06-06,Uttar Pradesh,Kasganj,24,15,0,0,
2020-06-07,Uttar Pradesh,Kasganj,24,15,0,0,
2020-06-08,Uttar Pradesh,Kasganj,24,15,0,0,
2020-06-09,Uttar Pradesh,Kasganj,26,15,0,0,
2020-06-10,Uttar Pradesh,Kasganj,26,15,0,0,
2020-06-11,Uttar Pradesh,Kasganj,30,15,0,0,
2020-06-12,Uttar Pradesh,Kasganj,31,23,0,0,
2020-06-13,Uttar Pradesh,Kasganj,31,23,0,0,
2020-06-14,Uttar Pradesh,Kasganj,32,24,0,0,
2020-06-15,Uttar Pradesh,Kasganj,33,24,0,0,
2020-06-16,Uttar Pradesh,Kasganj,36,27,0,0,
2020-06-17,Uttar Pradesh,Kasganj,36,27,0,0,
2020-06-18,Uttar Pradesh,Kasganj,38,29,0,0,
2020-06-19,Uttar Pradesh,Kasganj,41,29,0,0,
2020-06-20,Uttar Pradesh,Kasganj,41,29,0,0,
2020-06-21,Uttar Pradesh,Kasganj,41,29,0,0,
2020-06-22,Uttar Pradesh,Kasganj,41,31,0,0,
2020-06-23,Uttar Pradesh,Kasganj,43,31,0,0,
2020-06-24,Uttar Pradesh,Kasganj,43,32,0,0,
2020-06-25,Uttar Pradesh,Kasganj,43,34,0,0,
2020-06-26,Uttar Pradesh,Kasganj,43,35,0,0,
2020-06-27,Uttar Pradesh,Kasganj,43,35,0,0,
2020-06-28,Uttar Pradesh,Kasganj,67,35,0,0,
2020-06-29,Uttar Pradesh,Kasganj,75,35,0,0,
2020-06-30,Uttar Pradesh,Kasganj,76,38,0,0,
2020-07-01,Uttar Pradesh,Kasganj,78,38,0,0,
2020-07-02,Uttar Pradesh,Kasganj,88,52,0,0,
2020-07-03,Uttar Pradesh,Kasganj,90,53,0,0,
2020-07-04,Uttar Pradesh,Kasganj,96,54,0,0,
2020-07-05,Uttar Pradesh,Kasganj,129,58,0,0,
2020-07-06,Uttar Pradesh,Kasganj,135,58,0,0,
2020-07-07,Uttar Pradesh,Kasganj,145,65,0,0,
2020-07-08,Uttar Pradesh,Kasganj,145,63,0,0,
2020-07-09,Uttar Pradesh,Kasganj,157,70,0,0,
2020-07-10,Uttar Pradesh,Kasganj,160,75,0,0,6804.0
2020-07-11,Uttar Pradesh,Kasganj,169,75,0,0,6804.0
2020-07-12,Uttar Pradesh,Kasganj,169,79,0,0,6974.0
2020-07-13,Uttar Pradesh,Kasganj,178,90,0,0,7505.0
2020-07-14,Uttar Pradesh,Kasganj,190,99,0,0,7757.0
2020-07-15,Uttar Pradesh,Kasganj,208,101,0,0,7972.0
2020-07-16,Uttar Pradesh,Kasganj,210,112,0,0,8329.0
2020-07-17,Uttar Pradesh,Kasganj,214,128,0,0,8759.0
2020-07-18,Uttar Pradesh,Kasganj,240,139,0,0,8759.0
2020-07-19,Uttar Pradesh,Kasganj,263,155,0,0,9002.0
2020-07-20,Uttar Pradesh,Kasganj,286,156,0,0,9195.0
2020-07-21,Uttar Pradesh,Kasganj,292,156,0,0,9369.0
2020-07-22,Uttar Pradesh,Kasganj,306,164,1,0,9614.0
2020-07-23,Uttar Pradesh,Kasganj,318,164,1,0,9761.0
2020-07-24,Uttar Pradesh,Kasganj,329,164,1,0,10268.0
2020-07-25,Uttar Pradesh,Kasganj,343,188,1,0,10620.0
2020-07-26,Uttar Pradesh,Kasganj,355,187,1,0,11409.0
2020-07-27,Uttar Pradesh,Kasganj,365,209,1,0,12699.0
2020-07-28,Uttar Pradesh,Kasganj,379,209,1,0,13730.0
2020-07-29,Uttar Pradesh,Kasganj,387,272,1,0,14846.0
2020-07-30,Uttar Pradesh,Kasganj,407,278,1,0,16093.0
2020-07-31,Uttar Pradesh,Kasganj,411,281,1,0,16093.0
2020-08-01,Uttar Pradesh,Kasganj,432,293,1,0,17150.0
2020-08-02,Uttar Pradesh,Kasganj,432,315,1,0,17555.0
2020-08-03,Uttar Pradesh,Kasganj,441,316,1,0,18245.0
2020-08-04,Uttar Pradesh,Kasganj,460,317,1,0,18245.0
2020-08-05,Uttar Pradesh,Kasganj,468,325,1,0,20631.0
2020-08-06,Uttar Pradesh,Kasganj,482,341,1,0,21959.0
2020-08-07,Uttar Pradesh,Kasganj,495,353,1,0,22977.0
2020-08-08,Uttar Pradesh,Kasganj,513,364,1,0,23228.0
2020-08-09,Uttar Pradesh,Kasganj,521,368,1,0,24109.0
2020-08-10,Uttar Pradesh,Kasganj,526,369,1,0,24929.0
2020-08-11,Uttar Pradesh,Kasganj,541,380,1,0,25783.0
2020-08-12,Uttar Pradesh,Kasganj,554,382,1,0,25783.0
2020-08-13,Uttar Pradesh,Kasganj,572,386,1,0,27752.0
2020-08-14,Uttar Pradesh,Kasganj,582,398,1,0,28719.0
2020-08-15,Uttar Pradesh,Kasganj,591,410,1,0,28719.0
2020-08-16,Uttar Pradesh,Kasganj,596,424,1,0,29325.0
2020-08-17,Uttar Pradesh,Kasganj,602,440,1,0,35987.0
2020-08-18,Uttar Pradesh,Kasganj,602,441,1,0,35987.0
2020-08-19,Uttar Pradesh,Kasganj,612,453,1,0,39379.0
2020-08-20,Uttar Pradesh,Kasganj,638,453,1,0,40859.0
2020-08-21,Uttar Pradesh,Kasganj,662,468,1,0,41862.0
2020-08-22,Uttar Pradesh,Kasganj,680,479,1,0,41862.0
2020-08-23,Uttar Pradesh,Kasganj,699,481,1,0,45198.0
2020-08-24,Uttar Pradesh,Kasganj,711,482,1,0,45324.0
2020-08-25,Uttar Pradesh,Kasganj,743,485,1,0,46718.0
2020-08-26,Uttar Pradesh,Kasganj,772,516,1,0,48012.0
2020-08-27,Uttar Pradesh,Kasganj,783,561,1,0,48012.0
2020-08-28,Uttar Pradesh,Kasganj,798,567,1,0,50444.0
2020-08-29,Uttar Pradesh,Kasganj,818,578,1,0,51849.0
2020-08-30,Uttar Pradesh,Kasganj,848,608,2,0,52870.0
2020-08-31,Uttar Pradesh,Kasganj,858,615,2,0,53879.0
2020-09-01,Uttar Pradesh,Kasganj,875,639,2,0,54924.0
2020-09-02,Uttar Pradesh,Kasganj,912,648,2,0,56310.0
2020-09-03,Uttar Pradesh,Kasganj,939,662,2,0,57549.0
2020-09-04,Uttar Pradesh,Kasganj,950,688,2,0,58972.0
2020-09-05,Uttar Pradesh,Kasganj,984,699,2,0,60231.0
2020-09-06,Uttar Pradesh,Kasganj,1019,708,2,0,61204.0
