Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Mathura,10,0,0,0,
2020-04-27,Uttar Pradesh,Mathura,10,0,0,0,
2020-04-28,Uttar Pradesh,Mathura,12,1,0,0,
2020-04-29,Uttar Pradesh,Mathura,13,1,1,0,
2020-04-30,Uttar Pradesh,Mathura,13,1,1,0,
2020-05-01,Uttar Pradesh,Mathura,13,4,1,0,
2020-05-02,Uttar Pradesh,Mathura,22,4,1,0,
2020-05-03,Uttar Pradesh,Mathura,27,4,1,0,
2020-05-04,Uttar Pradesh,Mathura,31,5,4,0,
2020-05-05,Uttar Pradesh,Mathura,32,5,4,0,
2020-05-06,Uttar Pradesh,Mathura,36,5,4,0,
2020-05-07,Uttar Pradesh,Mathura,38,5,4,0,
2020-05-08,Uttar Pradesh,Mathura,47,5,4,0,
2020-05-09,Uttar Pradesh,Mathura,52,6,4,0,
2020-05-10,Uttar Pradesh,Mathura,54,6,4,0,
2020-05-11,Uttar Pradesh,Mathura,56,9,4,0,
2020-05-12,Uttar Pradesh,Mathura,56,9,4,0,
2020-05-13,Uttar Pradesh,Mathura,56,9,4,0,
2020-05-14,Uttar Pradesh,Mathura,56,10,4,0,
2020-05-15,Uttar Pradesh,Mathura,56,10,4,0,
2020-05-16,Uttar Pradesh,Mathura,49,17,4,0,
2020-05-17,Uttar Pradesh,Mathura,48,19,4,0,
2020-05-18,Uttar Pradesh,Mathura,50,30,4,0,
2020-05-19,Uttar Pradesh,Mathura,51,32,4,0,
2020-05-20,Uttar Pradesh,Mathura,57,37,4,0,
2020-05-21,Uttar Pradesh,Mathura,59,38,4,0,
2020-05-22,Uttar Pradesh,Mathura,60,43,4,0,
2020-05-23,Uttar Pradesh,Mathura,60,43,4,0,
2020-05-24,Uttar Pradesh,Mathura,61,43,4,0,
2020-05-25,Uttar Pradesh,Mathura,65,43,4,0,
2020-05-26,Uttar Pradesh,Mathura,65,43,4,0,
2020-05-27,Uttar Pradesh,Mathura,72,44,4,0,
2020-05-28,Uttar Pradesh,Mathura,75,44,5,0,
2020-05-29,Uttar Pradesh,Mathura,76,44,6,0,
2020-05-30,Uttar Pradesh,Mathura,76,51,6,0,
2020-05-31,Uttar Pradesh,Mathura,77,52,6,0,
2020-06-01,Uttar Pradesh,Mathura,77,52,6,0,
2020-06-02,Uttar Pradesh,Mathura,83,52,6,0,
2020-06-03,Uttar Pradesh,Mathura,83,52,6,0,
2020-06-04,Uttar Pradesh,Mathura,84,52,6,0,
2020-06-05,Uttar Pradesh,Mathura,97,60,6,0,
2020-06-06,Uttar Pradesh,Mathura,99,60,6,0,
2020-06-07,Uttar Pradesh,Mathura,99,64,6,0,
2020-06-08,Uttar Pradesh,Mathura,105,69,6,0,
2020-06-09,Uttar Pradesh,Mathura,107,69,6,0,
2020-06-10,Uttar Pradesh,Mathura,113,69,6,0,
2020-06-11,Uttar Pradesh,Mathura,124,70,6,0,
2020-06-12,Uttar Pradesh,Mathura,154,70,7,0,
2020-06-13,Uttar Pradesh,Mathura,157,74,8,0,
2020-06-14,Uttar Pradesh,Mathura,167,76,8,0,
2020-06-15,Uttar Pradesh,Mathura,177,76,8,0,
2020-06-16,Uttar Pradesh,Mathura,185,85,8,0,
2020-06-17,Uttar Pradesh,Mathura,187,85,8,0,
2020-06-18,Uttar Pradesh,Mathura,213,86,8,0,
2020-06-19,Uttar Pradesh,Mathura,232,91,8,0,
2020-06-20,Uttar Pradesh,Mathura,245,91,9,0,
2020-06-21,Uttar Pradesh,Mathura,248,107,10,0,
2020-06-22,Uttar Pradesh,Mathura,261,114,10,0,
2020-06-23,Uttar Pradesh,Mathura,276,132,11,0,
2020-06-24,Uttar Pradesh,Mathura,280,142,11,0,
2020-06-25,Uttar Pradesh,Mathura,287,146,11,0,
2020-06-26,Uttar Pradesh,Mathura,308,155,11,0,
2020-06-27,Uttar Pradesh,Mathura,314,159,12,0,
2020-06-28,Uttar Pradesh,Mathura,324,176,12,0,
2020-06-29,Uttar Pradesh,Mathura,330,183,13,0,
2020-06-30,Uttar Pradesh,Mathura,347,203,13,0,
2020-07-01,Uttar Pradesh,Mathura,362,210,13,0,
2020-07-02,Uttar Pradesh,Mathura,382,215,13,0,
2020-07-03,Uttar Pradesh,Mathura,391,230,13,0,
2020-07-04,Uttar Pradesh,Mathura,396,230,13,0,
2020-07-05,Uttar Pradesh,Mathura,437,236,15,0,
2020-07-06,Uttar Pradesh,Mathura,443,240,19,0,
2020-07-07,Uttar Pradesh,Mathura,443,253,20,0,
2020-07-08,Uttar Pradesh,Mathura,460,257,22,0,
2020-07-09,Uttar Pradesh,Mathura,480,266,22,0,
2020-07-10,Uttar Pradesh,Mathura,484,270,21,0,11710.0
2020-07-11,Uttar Pradesh,Mathura,503,276,23,0,11950.0
2020-07-12,Uttar Pradesh,Mathura,530,310,23,0,12375.0
2020-07-13,Uttar Pradesh,Mathura,546,324,23,0,12830.0
2020-07-14,Uttar Pradesh,Mathura,545,334,25,0,13321.0
2020-07-15,Uttar Pradesh,Mathura,560,351,25,0,13520.0
2020-07-16,Uttar Pradesh,Mathura,566,366,25,0,13843.0
2020-07-17,Uttar Pradesh,Mathura,585,377,25,0,14089.0
2020-07-18,Uttar Pradesh,Mathura,596,389,26,0,14411.0
2020-07-19,Uttar Pradesh,Mathura,597,409,26,0,14610.0
2020-07-20,Uttar Pradesh,Mathura,624,415,27,0,14972.0
2020-07-21,Uttar Pradesh,Mathura,639,435,27,0,15336.0
2020-07-22,Uttar Pradesh,Mathura,653,444,27,0,15608.0
2020-07-23,Uttar Pradesh,Mathura,691,455,27,0,15972.0
2020-07-24,Uttar Pradesh,Mathura,704,486,28,0,16383.0
