Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Mirzapur,3,0,0,0,
2020-04-27,Uttar Pradesh,Mirzapur,3,1,0,0,
2020-04-28,Uttar Pradesh,Mirzapur,3,1,0,0,
2020-04-29,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-04-30,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-01,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-02,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-03,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-04,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-05,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-06,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-07,Uttar Pradesh,Mirzapur,3,2,0,0,
2020-05-08,Uttar Pradesh,Mirzapur,4,2,0,0,
2020-05-09,Uttar Pradesh,Mirzapur,4,3,0,0,
2020-05-10,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-11,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-12,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-13,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-14,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-15,Uttar Pradesh,Mirzapur,7,3,0,0,
2020-05-16,Uttar Pradesh,Mirzapur,14,9,0,0,
2020-05-17,Uttar Pradesh,Mirzapur,14,9,0,0,
2020-05-18,Uttar Pradesh,Mirzapur,17,9,0,0,
2020-05-19,Uttar Pradesh,Mirzapur,24,9,0,0,
2020-05-20,Uttar Pradesh,Mirzapur,24,9,0,0,
2020-05-21,Uttar Pradesh,Mirzapur,25,9,0,0,
2020-05-22,Uttar Pradesh,Mirzapur,25,9,0,0,
2020-05-23,Uttar Pradesh,Mirzapur,30,3,0,0,
2020-05-24,Uttar Pradesh,Mirzapur,31,3,0,0,
2020-05-25,Uttar Pradesh,Mirzapur,31,7,0,0,
2020-05-26,Uttar Pradesh,Mirzapur,31,12,0,0,
2020-05-27,Uttar Pradesh,Mirzapur,32,12,0,0,
2020-05-28,Uttar Pradesh,Mirzapur,32,16,0,0,
2020-05-29,Uttar Pradesh,Mirzapur,34,16,0,0,
2020-05-30,Uttar Pradesh,Mirzapur,34,18,0,0,
2020-05-31,Uttar Pradesh,Mirzapur,34,18,0,0,
2020-06-01,Uttar Pradesh,Mirzapur,34,22,0,0,
2020-06-02,Uttar Pradesh,Mirzapur,34,22,0,0,
2020-06-03,Uttar Pradesh,Mirzapur,35,22,0,0,
2020-06-04,Uttar Pradesh,Mirzapur,36,22,0,0,
2020-06-05,Uttar Pradesh,Mirzapur,36,22,0,0,
2020-06-06,Uttar Pradesh,Mirzapur,36,22,0,0,
2020-06-07,Uttar Pradesh,Mirzapur,38,22,0,0,
2020-06-08,Uttar Pradesh,Mirzapur,38,22,0,0,
2020-06-09,Uttar Pradesh,Mirzapur,40,23,0,0,
2020-06-10,Uttar Pradesh,Mirzapur,42,27,0,0,
2020-06-11,Uttar Pradesh,Mirzapur,41,27,0,0,
2020-06-12,Uttar Pradesh,Mirzapur,41,31,0,0,
2020-06-13,Uttar Pradesh,Mirzapur,41,32,0,0,
2020-06-14,Uttar Pradesh,Mirzapur,41,35,0,0,
2020-06-15,Uttar Pradesh,Mirzapur,47,35,0,0,
2020-06-16,Uttar Pradesh,Mirzapur,48,35,0,0,
2020-06-17,Uttar Pradesh,Mirzapur,48,35,0,0,
2020-06-18,Uttar Pradesh,Mirzapur,48,41,0,0,
2020-06-19,Uttar Pradesh,Mirzapur,57,42,0,0,
2020-06-20,Uttar Pradesh,Mirzapur,60,42,0,0,
2020-06-21,Uttar Pradesh,Mirzapur,65,42,0,0,
2020-06-22,Uttar Pradesh,Mirzapur,68,42,1,0,
2020-06-23,Uttar Pradesh,Mirzapur,70,44,1,0,
2020-06-24,Uttar Pradesh,Mirzapur,73,47,1,0,
2020-06-25,Uttar Pradesh,Mirzapur,77,47,1,0,
2020-06-26,Uttar Pradesh,Mirzapur,78,49,1,0,
2020-06-27,Uttar Pradesh,Mirzapur,79,50,1,0,
2020-06-28,Uttar Pradesh,Mirzapur,85,54,1,0,
2020-06-29,Uttar Pradesh,Mirzapur,89,59,1,0,
2020-06-30,Uttar Pradesh,Mirzapur,91,64,1,0,
2020-07-01,Uttar Pradesh,Mirzapur,97,65,1,0,
2020-07-02,Uttar Pradesh,Mirzapur,99,67,1,0,
2020-07-03,Uttar Pradesh,Mirzapur,120,72,1,0,
2020-07-04,Uttar Pradesh,Mirzapur,128,73,1,0,
