Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Pilibhit,2,2,0,0,
2020-04-27,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-04-28,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-04-29,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-04-30,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-01,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-02,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-03,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-04,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-05,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-06,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-07,Uttar Pradesh,Pilibhit,3,2,0,0,
2020-05-08,Uttar Pradesh,Pilibhit,4,2,0,0,
2020-05-09,Uttar Pradesh,Pilibhit,4,3,0,0,1281.0
2020-05-10,Uttar Pradesh,Pilibhit,4,4,0,0,1281.0
2020-05-11,Uttar Pradesh,Pilibhit,4,4,0,0,1416.0
2020-05-12,Uttar Pradesh,Pilibhit,4,4,0,0,1416.0
2020-05-13,Uttar Pradesh,Pilibhit,6,4,0,0,1416.0
2020-05-14,Uttar Pradesh,Pilibhit,6,4,0,0,1682.0
2020-05-15,Uttar Pradesh,Pilibhit,6,4,0,0,1831.0
2020-05-16,Uttar Pradesh,Pilibhit,6,4,0,0,1831.0
2020-05-17,Uttar Pradesh,Pilibhit,14,4,0,0,2027.0
2020-05-18,Uttar Pradesh,Pilibhit,15,4,0,0,2027.0
2020-05-19,Uttar Pradesh,Pilibhit,24,4,0,0,2330.0
2020-05-20,Uttar Pradesh,Pilibhit,32,4,0,0,2524.0
2020-05-21,Uttar Pradesh,Pilibhit,35,4,0,0,2524.0
2020-05-22,Uttar Pradesh,Pilibhit,38,4,0,0,2808.0
2020-05-23,Uttar Pradesh,Pilibhit,41,4,0,0,2808.0
