Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Sant Kabir Nagar,21,0,0,0,
2020-04-27,Uttar Pradesh,Sant Kabir Nagar,21,0,0,0,
2020-04-28,Uttar Pradesh,Sant Kabir Nagar,23,0,0,0,
2020-04-29,Uttar Pradesh,Sant Kabir Nagar,23,0,0,0,
2020-04-30,Uttar Pradesh,Sant Kabir Nagar,23,0,0,0,
2020-05-01,Uttar Pradesh,Sant Kabir Nagar,26,0,0,0,
2020-05-02,Uttar Pradesh,Sant Kabir Nagar,27,0,0,0,
2020-05-03,Uttar Pradesh,Sant Kabir Nagar,25,0,0,0,
2020-05-04,Uttar Pradesh,Sant Kabir Nagar,26,0,0,0,
2020-05-05,Uttar Pradesh,Sant Kabir Nagar,26,0,0,0,
2020-05-06,Uttar Pradesh,Sant Kabir Nagar,30,2,0,0,
2020-05-07,Uttar Pradesh,Sant Kabir Nagar,30,2,0,0,
2020-05-08,Uttar Pradesh,Sant Kabir Nagar,30,2,0,0,
2020-05-09,Uttar Pradesh,Sant Kabir Nagar,30,2,0,0,
2020-05-10,Uttar Pradesh,Sant Kabir Nagar,30,2,0,0,
2020-05-11,Uttar Pradesh,Sant Kabir Nagar,31,15,0,0,
2020-05-12,Uttar Pradesh,Sant Kabir Nagar,31,17,0,0,
2020-05-13,Uttar Pradesh,Sant Kabir Nagar,32,19,1,0,
2020-05-14,Uttar Pradesh,Sant Kabir Nagar,34,23,1,0,
2020-05-15,Uttar Pradesh,Sant Kabir Nagar,36,25,1,0,
2020-05-16,Uttar Pradesh,Sant Kabir Nagar,37,25,1,0,
2020-05-17,Uttar Pradesh,Sant Kabir Nagar,39,25,1,0,
2020-05-18,Uttar Pradesh,Sant Kabir Nagar,39,25,4,0,
2020-05-19,Uttar Pradesh,Sant Kabir Nagar,40,25,4,0,
2020-05-20,Uttar Pradesh,Sant Kabir Nagar,46,25,4,0,
2020-05-21,Uttar Pradesh,Sant Kabir Nagar,46,25,4,0,
2020-05-22,Uttar Pradesh,Sant Kabir Nagar,52,25,4,0,
2020-05-23,Uttar Pradesh,Sant Kabir Nagar,60,28,4,0,
2020-05-24,Uttar Pradesh,Sant Kabir Nagar,59,28,4,0,
2020-05-25,Uttar Pradesh,Sant Kabir Nagar,64,28,5,0,
2020-05-26,Uttar Pradesh,Sant Kabir Nagar,64,31,6,0,
2020-05-27,Uttar Pradesh,Sant Kabir Nagar,69,31,6,0,
2020-05-28,Uttar Pradesh,Sant Kabir Nagar,78,31,6,0,
2020-05-29,Uttar Pradesh,Sant Kabir Nagar,79,31,6,0,
2020-05-30,Uttar Pradesh,Sant Kabir Nagar,79,31,6,0,
2020-05-31,Uttar Pradesh,Sant Kabir Nagar,82,35,6,0,
2020-06-01,Uttar Pradesh,Sant Kabir Nagar,106,36,6,0,
2020-06-02,Uttar Pradesh,Sant Kabir Nagar,117,36,6,0,
2020-06-03,Uttar Pradesh,Sant Kabir Nagar,117,41,6,0,
2020-06-04,Uttar Pradesh,Sant Kabir Nagar,130,46,6,0,
2020-06-05,Uttar Pradesh,Sant Kabir Nagar,135,54,6,0,
2020-06-06,Uttar Pradesh,Sant Kabir Nagar,136,54,6,0,
2020-06-07,Uttar Pradesh,Sant Kabir Nagar,141,54,6,0,
2020-06-08,Uttar Pradesh,Sant Kabir Nagar,145,54,6,0,
2020-06-09,Uttar Pradesh,Sant Kabir Nagar,153,54,7,0,
2020-06-10,Uttar Pradesh,Sant Kabir Nagar,155,61,7,0,
2020-06-11,Uttar Pradesh,Sant Kabir Nagar,156,61,7,0,
2020-06-12,Uttar Pradesh,Sant Kabir Nagar,157,85,7,0,
2020-06-13,Uttar Pradesh,Sant Kabir Nagar,158,94,7,0,
2020-06-14,Uttar Pradesh,Sant Kabir Nagar,159,97,7,0,
2020-06-15,Uttar Pradesh,Sant Kabir Nagar,160,112,7,0,
2020-06-16,Uttar Pradesh,Sant Kabir Nagar,164,112,7,0,
2020-06-17,Uttar Pradesh,Sant Kabir Nagar,165,114,7,0,
2020-06-18,Uttar Pradesh,Sant Kabir Nagar,168,122,7,0,
2020-06-19,Uttar Pradesh,Sant Kabir Nagar,170,140,7,0,
2020-06-20,Uttar Pradesh,Sant Kabir Nagar,182,141,7,0,
2020-06-21,Uttar Pradesh,Sant Kabir Nagar,182,143,7,0,
2020-06-22,Uttar Pradesh,Sant Kabir Nagar,195,146,7,0,
2020-06-23,Uttar Pradesh,Sant Kabir Nagar,199,148,7,0,
2020-06-24,Uttar Pradesh,Sant Kabir Nagar,203,149,7,0,
2020-06-25,Uttar Pradesh,Sant Kabir Nagar,205,150,7,0,
2020-06-26,Uttar Pradesh,Sant Kabir Nagar,210,152,7,0,
2020-06-27,Uttar Pradesh,Sant Kabir Nagar,216,153,7,0,
2020-06-28,Uttar Pradesh,Sant Kabir Nagar,218,156,7,0,
2020-06-29,Uttar Pradesh,Sant Kabir Nagar,232,156,7,0,
2020-06-30,Uttar Pradesh,Sant Kabir Nagar,234,157,7,0,
2020-07-01,Uttar Pradesh,Sant Kabir Nagar,240,172,7,0,
2020-07-02,Uttar Pradesh,Sant Kabir Nagar,248,183,7,0,
2020-07-03,Uttar Pradesh,Sant Kabir Nagar,256,188,7,0,
2020-07-04,Uttar Pradesh,Sant Kabir Nagar,271,192,7,0,
2020-07-05,Uttar Pradesh,Sant Kabir Nagar,284,194,7,0,
2020-07-06,Uttar Pradesh,Sant Kabir Nagar,285,198,7,0,
2020-07-07,Uttar Pradesh,Sant Kabir Nagar,287,205,7,0,
2020-07-08,Uttar Pradesh,Sant Kabir Nagar,304,207,7,0,
2020-07-09,Uttar Pradesh,Sant Kabir Nagar,330,219,7,0,
2020-07-10,Uttar Pradesh,Sant Kabir Nagar,343,221,7,0,13268.0
2020-07-11,Uttar Pradesh,Sant Kabir Nagar,368,227,7,0,13665.0
2020-07-12,Uttar Pradesh,Sant Kabir Nagar,388,234,7,0,14207.0
2020-07-13,Uttar Pradesh,Sant Kabir Nagar,410,248,7,0,14724.0
2020-07-14,Uttar Pradesh,Sant Kabir Nagar,445,259,7,0,15125.0
2020-07-15,Uttar Pradesh,Sant Kabir Nagar,465,272,7,0,15532.0
2020-07-16,Uttar Pradesh,Sant Kabir Nagar,485,279,7,0,15939.0
2020-07-17,Uttar Pradesh,Sant Kabir Nagar,497,280,7,0,16405.0
2020-07-18,Uttar Pradesh,Sant Kabir Nagar,511,293,7,0,16807.0
2020-07-19,Uttar Pradesh,Sant Kabir Nagar,515,312,7,0,17243.0
2020-07-20,Uttar Pradesh,Sant Kabir Nagar,548,332,7,0,17749.0
2020-07-21,Uttar Pradesh,Sant Kabir Nagar,569,360,8,0,18128.0
2020-07-22,Uttar Pradesh,Sant Kabir Nagar,579,382,8,0,18328.0
2020-07-23,Uttar Pradesh,Sant Kabir Nagar,617,431,8,0,18762.0
2020-07-24,Uttar Pradesh,Sant Kabir Nagar,654,480,8,0,19146.0
2020-07-25,Uttar Pradesh,Sant Kabir Nagar,707,494,9,0,19662.0
2020-07-26,Uttar Pradesh,Sant Kabir Nagar,724,498,9,0,19993.0
2020-07-27,Uttar Pradesh,Sant Kabir Nagar,764,529,9,0,20695.0
2020-07-28,Uttar Pradesh,Sant Kabir Nagar,791,546,10,0,21030.0
2020-07-29,Uttar Pradesh,Sant Kabir Nagar,834,560,10,0,22114.0
2020-07-30,Uttar Pradesh,Sant Kabir Nagar,883,592,10,0,23211.0
2020-07-31,Uttar Pradesh,Sant Kabir Nagar,952,607,10,0,24233.0
2020-08-01,Uttar Pradesh,Sant Kabir Nagar,969,630,10,0,25424.0
2020-08-02,Uttar Pradesh,Sant Kabir Nagar,1011,659,10,0,26473.0
2020-08-03,Uttar Pradesh,Sant Kabir Nagar,1064,676,10,0,27754.0
2020-08-04,Uttar Pradesh,Sant Kabir Nagar,1121,700,10,0,27754.0
2020-08-05,Uttar Pradesh,Sant Kabir Nagar,1173,754,11,0,27754.0
2020-08-06,Uttar Pradesh,Sant Kabir Nagar,1232,782,11,0,31003.0
2020-08-07,Uttar Pradesh,Sant Kabir Nagar,1278,867,11,0,32018.0
2020-08-08,Uttar Pradesh,Sant Kabir Nagar,1321,907,13,0,32985.0
2020-08-09,Uttar Pradesh,Sant Kabir Nagar,1378,957,13,0,33827.0
2020-08-10,Uttar Pradesh,Sant Kabir Nagar,1398,999,13,0,35233.0
2020-08-11,Uttar Pradesh,Sant Kabir Nagar,1424,1031,14,0,35999.0
2020-08-12,Uttar Pradesh,Sant Kabir Nagar,1448,1076,14,0,36857.0
2020-08-13,Uttar Pradesh,Sant Kabir Nagar,1471,1114,14,0,37617.0
