Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Shamli,27,18,0,0,
2020-04-27,Uttar Pradesh,Shamli,27,18,0,0,
2020-04-28,Uttar Pradesh,Shamli,27,21,0,0,
2020-04-29,Uttar Pradesh,Shamli,27,21,0,0,
2020-04-30,Uttar Pradesh,Shamli,27,24,0,0,
2020-05-01,Uttar Pradesh,Shamli,27,24,0,0,
2020-05-02,Uttar Pradesh,Shamli,27,25,0,0,
2020-05-03,Uttar Pradesh,Shamli,27,25,0,0,
2020-05-04,Uttar Pradesh,Shamli,27,25,0,0,
2020-05-05,Uttar Pradesh,Shamli,29,27,0,0,
2020-05-06,Uttar Pradesh,Shamli,29,27,0,0,
2020-05-07,Uttar Pradesh,Shamli,29,27,0,0,
2020-05-08,Uttar Pradesh,Shamli,29,27,0,0,
2020-05-09,Uttar Pradesh,Shamli,31,27,0,0,
2020-05-10,Uttar Pradesh,Shamli,31,27,0,0,
2020-05-11,Uttar Pradesh,Shamli,31,27,0,0,
2020-05-12,Uttar Pradesh,Shamli,32,27,0,0,
2020-05-13,Uttar Pradesh,Shamli,32,27,0,0,
2020-05-14,Uttar Pradesh,Shamli,33,27,0,0,
2020-05-15,Uttar Pradesh,Shamli,33,27,0,0,
2020-05-16,Uttar Pradesh,Shamli,33,27,0,0,
2020-05-17,Uttar Pradesh,Shamli,33,27,0,0,
2020-05-18,Uttar Pradesh,Shamli,37,27,0,0,
2020-05-19,Uttar Pradesh,Shamli,37,27,0,0,
2020-05-20,Uttar Pradesh,Shamli,37,28,0,0,
2020-05-21,Uttar Pradesh,Shamli,37,28,0,0,
2020-05-22,Uttar Pradesh,Shamli,37,28,0,0,
2020-05-23,Uttar Pradesh,Shamli,39,29,0,0,
2020-05-24,Uttar Pradesh,Shamli,40,29,0,0,
2020-05-25,Uttar Pradesh,Shamli,42,29,0,0,
2020-05-26,Uttar Pradesh,Shamli,42,30,0,0,
2020-05-27,Uttar Pradesh,Shamli,43,30,0,0,
2020-05-28,Uttar Pradesh,Shamli,43,30,0,0,
2020-05-29,Uttar Pradesh,Shamli,44,31,0,0,
2020-05-30,Uttar Pradesh,Shamli,44,36,0,0,
2020-05-31,Uttar Pradesh,Shamli,46,36,0,0,
2020-06-01,Uttar Pradesh,Shamli,46,36,0,0,
2020-06-02,Uttar Pradesh,Shamli,47,36,0,0,
2020-06-03,Uttar Pradesh,Shamli,47,36,0,0,
2020-06-04,Uttar Pradesh,Shamli,50,38,0,0,
2020-06-05,Uttar Pradesh,Shamli,50,39,0,0,
2020-06-06,Uttar Pradesh,Shamli,50,39,0,0,
2020-06-07,Uttar Pradesh,Shamli,51,41,0,0,
2020-06-08,Uttar Pradesh,Shamli,51,41,0,0,
2020-06-09,Uttar Pradesh,Shamli,51,41,0,0,
2020-06-10,Uttar Pradesh,Shamli,51,41,0,0,
2020-06-11,Uttar Pradesh,Shamli,54,42,0,0,
