Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Shrawasti,5,0,0,0,
2020-04-27,Uttar Pradesh,Shrawasti,5,0,1,0,
2020-04-28,Uttar Pradesh,Shrawasti,5,0,1,0,
2020-04-29,Uttar Pradesh,Shrawasti,5,0,1,0,
2020-04-30,Uttar Pradesh,Shrawasti,5,0,1,0,
2020-05-01,Uttar Pradesh,Shrawasti,5,0,1,0,
2020-05-02,Uttar Pradesh,Shrawasti,6,0,1,0,
2020-05-03,Uttar Pradesh,Shrawasti,6,0,1,0,
2020-05-04,Uttar Pradesh,Shrawasti,7,0,1,0,
2020-05-05,Uttar Pradesh,Shrawasti,7,0,1,0,
2020-05-06,Uttar Pradesh,Shrawasti,8,0,1,0,
2020-05-07,Uttar Pradesh,Shrawasti,8,0,1,0,
2020-05-08,Uttar Pradesh,Shrawasti,9,3,1,0,
2020-05-09,Uttar Pradesh,Shrawasti,9,3,1,0,
2020-05-10,Uttar Pradesh,Shrawasti,12,3,1,0,
2020-05-11,Uttar Pradesh,Shrawasti,12,3,1,0,
2020-05-12,Uttar Pradesh,Shrawasti,12,3,1,0,
2020-05-13,Uttar Pradesh,Shrawasti,12,3,1,0,
2020-05-14,Uttar Pradesh,Shrawasti,14,3,1,0,
2020-05-15,Uttar Pradesh,Shrawasti,14,3,1,0,
2020-05-16,Uttar Pradesh,Shrawasti,14,3,1,0,
2020-05-17,Uttar Pradesh,Shrawasti,17,4,1,0,
2020-05-18,Uttar Pradesh,Shrawasti,17,4,1,0,
2020-05-19,Uttar Pradesh,Shrawasti,22,5,1,0,
2020-05-20,Uttar Pradesh,Shrawasti,22,5,1,0,
2020-05-21,Uttar Pradesh,Shrawasti,28,5,1,0,
2020-05-22,Uttar Pradesh,Shrawasti,29,7,1,0,
2020-05-23,Uttar Pradesh,Shrawasti,29,10,1,0,
2020-05-24,Uttar Pradesh,Shrawasti,29,10,1,0,
2020-05-25,Uttar Pradesh,Shrawasti,29,12,1,0,
2020-05-26,Uttar Pradesh,Shrawasti,29,12,1,0,
2020-05-27,Uttar Pradesh,Shrawasti,29,12,1,0,
2020-05-28,Uttar Pradesh,Shrawasti,29,13,1,0,
2020-05-29,Uttar Pradesh,Shrawasti,29,13,1,0,
2020-05-30,Uttar Pradesh,Shrawasti,29,15,1,0,
2020-05-31,Uttar Pradesh,Shrawasti,29,15,1,0,
2020-06-01,Uttar Pradesh,Shrawasti,32,20,1,0,
2020-06-02,Uttar Pradesh,Shrawasti,34,20,1,0,
2020-06-03,Uttar Pradesh,Shrawasti,34,20,1,0,
2020-06-04,Uttar Pradesh,Shrawasti,39,27,1,0,
2020-06-05,Uttar Pradesh,Shrawasti,42,27,1,0,
2020-06-06,Uttar Pradesh,Shrawasti,42,28,1,0,
2020-06-07,Uttar Pradesh,Shrawasti,44,28,1,0,
2020-06-08,Uttar Pradesh,Shrawasti,46,28,1,0,
2020-06-09,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-10,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-11,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-12,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-13,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-14,Uttar Pradesh,Shrawasti,47,28,1,0,
2020-06-15,Uttar Pradesh,Shrawasti,48,37,1,0,
2020-06-16,Uttar Pradesh,Shrawasti,51,37,1,0,
2020-06-17,Uttar Pradesh,Shrawasti,51,37,1,0,
2020-06-18,Uttar Pradesh,Shrawasti,51,41,1,0,
