Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Unnao,1,0,0,0,
2020-04-27,Uttar Pradesh,Unnao,1,0,0,0,
2020-04-28,Uttar Pradesh,Unnao,1,0,0,0,
2020-04-29,Uttar Pradesh,Unnao,1,0,0,0,
2020-04-30,Uttar Pradesh,Unnao,1,0,0,0,
2020-05-01,Uttar Pradesh,Unnao,2,0,0,0,
2020-05-02,Uttar Pradesh,Unnao,3,0,0,0,
2020-05-03,Uttar Pradesh,Unnao,3,0,0,0,
2020-05-04,Uttar Pradesh,Unnao,3,1,0,0,
2020-05-05,Uttar Pradesh,Unnao,3,1,0,0,
2020-05-06,Uttar Pradesh,Unnao,3,1,0,0,
2020-05-07,Uttar Pradesh,Unnao,3,1,0,0,
2020-05-08,Uttar Pradesh,Unnao,3,1,0,0,
2020-05-09,Uttar Pradesh,Unnao,4,1,0,0,
2020-05-10,Uttar Pradesh,Unnao,5,1,0,0,
2020-05-11,Uttar Pradesh,Unnao,5,1,0,0,
2020-05-12,Uttar Pradesh,Unnao,5,1,0,0,
2020-05-13,Uttar Pradesh,Unnao,6,1,0,0,
2020-05-14,Uttar Pradesh,Unnao,6,1,0,0,
2020-05-15,Uttar Pradesh,Unnao,6,2,0,0,
2020-05-16,Uttar Pradesh,Unnao,6,2,0,0,
2020-05-17,Uttar Pradesh,Unnao,6,3,0,0,
2020-05-18,Uttar Pradesh,Unnao,6,4,0,0,
2020-05-19,Uttar Pradesh,Unnao,6,4,0,0,
2020-05-20,Uttar Pradesh,Unnao,11,4,0,0,
2020-05-21,Uttar Pradesh,Unnao,16,4,0,0,
2020-05-22,Uttar Pradesh,Unnao,22,4,1,0,
2020-05-23,Uttar Pradesh,Unnao,22,4,1,0,
2020-05-24,Uttar Pradesh,Unnao,26,4,1,0,
2020-05-25,Uttar Pradesh,Unnao,27,4,1,0,
2020-05-26,Uttar Pradesh,Unnao,28,6,1,0,
2020-05-27,Uttar Pradesh,Unnao,29,6,1,0,
2020-05-28,Uttar Pradesh,Unnao,30,6,1,0,
2020-05-29,Uttar Pradesh,Unnao,31,6,2,0,
2020-05-30,Uttar Pradesh,Unnao,33,6,2,0,
2020-05-31,Uttar Pradesh,Unnao,35,6,2,0,
2020-06-01,Uttar Pradesh,Unnao,37,11,2,0,
2020-06-02,Uttar Pradesh,Unnao,40,14,2,0,
2020-06-03,Uttar Pradesh,Unnao,41,14,2,0,
2020-06-04,Uttar Pradesh,Unnao,41,18,2,0,
2020-06-05,Uttar Pradesh,Unnao,41,22,2,0,
2020-06-06,Uttar Pradesh,Unnao,47,22,2,0,
2020-06-07,Uttar Pradesh,Unnao,54,25,2,0,
2020-06-08,Uttar Pradesh,Unnao,54,27,2,0,
2020-06-09,Uttar Pradesh,Unnao,59,28,2,0,
2020-06-10,Uttar Pradesh,Unnao,61,28,2,0,
2020-06-11,Uttar Pradesh,Unnao,75,28,2,0,
2020-06-12,Uttar Pradesh,Unnao,81,31,2,0,
2020-06-13,Uttar Pradesh,Unnao,81,32,2,0,
2020-06-14,Uttar Pradesh,Unnao,88,37,2,0,
2020-06-15,Uttar Pradesh,Unnao,93,38,2,0,
2020-06-16,Uttar Pradesh,Unnao,93,38,2,0,
2020-06-17,Uttar Pradesh,Unnao,98,41,2,0,
2020-06-18,Uttar Pradesh,Unnao,103,47,2,0,
2020-06-19,Uttar Pradesh,Unnao,114,51,2,0,
2020-06-20,Uttar Pradesh,Unnao,115,54,2,0,
2020-06-21,Uttar Pradesh,Unnao,118,56,2,0,
2020-06-22,Uttar Pradesh,Unnao,129,56,2,0,
2020-06-23,Uttar Pradesh,Unnao,129,58,2,0,
2020-06-24,Uttar Pradesh,Unnao,134,68,2,0,
2020-06-25,Uttar Pradesh,Unnao,139,76,2,0,
2020-06-26,Uttar Pradesh,Unnao,151,87,2,0,
2020-06-27,Uttar Pradesh,Unnao,156,93,3,0,
2020-06-28,Uttar Pradesh,Unnao,159,99,3,0,
2020-06-29,Uttar Pradesh,Unnao,166,106,3,0,
2020-06-30,Uttar Pradesh,Unnao,170,114,3,0,
2020-07-01,Uttar Pradesh,Unnao,182,118,3,0,
2020-07-02,Uttar Pradesh,Unnao,185,119,3,0,
2020-07-03,Uttar Pradesh,Unnao,196,119,3,0,
2020-07-04,Uttar Pradesh,Unnao,198,121,3,0,
2020-07-05,Uttar Pradesh,Unnao,219,126,3,0,
2020-07-06,Uttar Pradesh,Unnao,229,132,3,0,
2020-07-07,Uttar Pradesh,Unnao,246,144,3,0,
2020-07-08,Uttar Pradesh,Unnao,264,149,3,0,
2020-07-09,Uttar Pradesh,Unnao,285,157,3,0,
2020-07-10,Uttar Pradesh,Unnao,303,159,3,0,10389.0
2020-07-11,Uttar Pradesh,Unnao,303,159,3,0,10389.0
2020-07-12,Uttar Pradesh,Unnao,334,169,3,0,11026.0
2020-07-13,Uttar Pradesh,Unnao,347,169,3,0,11323.0
2020-07-14,Uttar Pradesh,Unnao,352,178,3,0,11677.0
2020-07-15,Uttar Pradesh,Unnao,360,187,4,0,12472.0
2020-07-16,Uttar Pradesh,Unnao,393,187,4,0,12934.0
2020-07-17,Uttar Pradesh,Unnao,409,203,5,0,13458.0
2020-07-18,Uttar Pradesh,Unnao,453,230,5,0,13807.0
2020-07-19,Uttar Pradesh,Unnao,472,251,5,0,14079.0
2020-07-20,Uttar Pradesh,Unnao,475,256,7,0,14494.0
2020-07-21,Uttar Pradesh,Unnao,485,262,10,0,14885.0
2020-07-22,Uttar Pradesh,Unnao,513,267,10,0,15368.0
2020-07-23,Uttar Pradesh,Unnao,530,274,12,0,15982.0
2020-07-24,Uttar Pradesh,Unnao,578,282,13,0,16412.0
2020-07-25,Uttar Pradesh,Unnao,598,292,13,0,17042.0
