Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Uttarakhand,Bageshwar,2,0,0,0,62.0
2020-05-20,Uttarakhand,Bageshwar,2,0,0,0,95.0
2020-05-21,Uttarakhand,Bageshwar,11,0,0,0,95.0
2020-05-22,Uttarakhand,Bageshwar,6,0,0,0,119.0
2020-05-23,Uttarakhand,Bageshwar,6,0,0,0,141.0
2020-05-24,Uttarakhand,Bageshwar,8,0,0,0,141.0
2020-05-25,Uttarakhand,Bageshwar,8,0,0,0,141.0
2020-05-26,Uttarakhand,Bageshwar,8,0,0,0,141.0
2020-05-27,Uttarakhand,Bageshwar,8,0,0,0,141.0
2020-05-28,Uttarakhand,Bageshwar,8,0,0,0,141.0
2020-05-29,Uttarakhand,Bageshwar,16,0,0,0,141.0
2020-05-30,Uttarakhand,Bageshwar,16,0,0,0,141.0
2020-05-31,Uttarakhand,Bageshwar,16,0,0,0,141.0
2020-06-01,Uttarakhand,Bageshwar,21,5,0,0,381.0
2020-06-02,Uttarakhand,Bageshwar,21,6,0,0,424.0
2020-06-03,Uttarakhand,Bageshwar,21,6,0,0,456.0
2020-06-04,Uttarakhand,Bageshwar,23,10,0,0,479.0
2020-06-05,Uttarakhand,Bageshwar,23,11,0,0,503.0
2020-06-06,Uttarakhand,Bageshwar,27,11,0,0,529.0
2020-06-07,Uttarakhand,Bageshwar,33,11,0,0,545.0
2020-06-08,Uttarakhand,Bageshwar,35,18,0,0,545.0
2020-06-09,Uttarakhand,Bageshwar,40,18,0,0,545.0
2020-06-10,Uttarakhand,Bageshwar,40,18,0,0,545.0
2020-06-11,Uttarakhand,Bageshwar,40,18,0,0,629.0
2020-06-12,Uttarakhand,Bageshwar,40,18,0,0,629.0
2020-06-13,Uttarakhand,Bageshwar,40,18,0,0,647.0
2020-06-14,Uttarakhand,Bageshwar,40,29,0,0,684.0
2020-06-15,Uttarakhand,Bageshwar,42,33,0,0,725.0
2020-06-16,Uttarakhand,Bageshwar,42,33,0,0,773.0
2020-06-17,Uttarakhand,Bageshwar,47,33,0,0,872.0
2020-06-18,Uttarakhand,Bageshwar,47,40,1,0,937.0
2020-06-19,Uttarakhand,Bageshwar,54,42,1,0,1001.0
2020-06-20,Uttarakhand,Bageshwar,59,42,1,0,1020.0
2020-06-21,Uttarakhand,Bageshwar,59,45,1,0,1080.0
2020-06-22,Uttarakhand,Bageshwar,59,46,1,0,1140.0
2020-06-23,Uttarakhand,Bageshwar,63,46,1,0,1200.0
2020-06-24,Uttarakhand,Bageshwar,68,46,1,0,1262.0
2020-06-25,Uttarakhand,Bageshwar,74,50,1,0,1310.0
2020-06-26,Uttarakhand,Bageshwar,74,53,1,0,1342.0
2020-06-27,Uttarakhand,Bageshwar,81,55,1,0,1359.0
2020-06-28,Uttarakhand,Bageshwar,81,55,1,0,1407.0
2020-06-29,Uttarakhand,Bageshwar,81,61,1,0,1429.0
2020-06-30,Uttarakhand,Bageshwar,83,66,1,0,1471.0
2020-07-01,Uttarakhand,Bageshwar,83,67,1,0,1511.0
2020-07-02,Uttarakhand,Bageshwar,83,72,1,0,1561.0
2020-07-03,Uttarakhand,Bageshwar,86,74,1,0,1561.0
2020-07-04,Uttarakhand,Bageshwar,92,74,1,0,1631.0
2020-07-05,Uttarakhand,Bageshwar,93,74,1,0,1631.0
2020-07-06,Uttarakhand,Bageshwar,93,80,1,0,1671.0
2020-07-07,Uttarakhand,Bageshwar,93,82,1,0,1866.0
2020-07-08,Uttarakhand,Bageshwar,93,82,1,0,1946.0
2020-07-09,Uttarakhand,Bageshwar,93,85,1,0,2046.0
2020-07-10,Uttarakhand,Bageshwar,93,92,1,0,2141.0
2020-07-11,Uttarakhand,Bageshwar,93,92,1,0,2151.0
2020-07-12,Uttarakhand,Bageshwar,95,92,1,0,2214.0
2020-07-13,Uttarakhand,Bageshwar,95,92,1,0,2287.0
2020-07-14,Uttarakhand,Bageshwar,95,92,1,0,2369.0
