Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Uttarakhand,Chamoli,1,0,0,0,89.0
2020-05-20,Uttarakhand,Chamoli,1,0,0,0,89.0
2020-05-21,Uttarakhand,Chamoli,1,0,0,0,103.0
2020-05-22,Uttarakhand,Chamoli,1,0,0,0,123.0
2020-05-23,Uttarakhand,Chamoli,1,0,0,0,138.0
2020-05-24,Uttarakhand,Chamoli,9,0,0,0,144.0
2020-05-25,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-26,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-27,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-28,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-29,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-30,Uttarakhand,Chamoli,11,0,0,0,144.0
2020-05-31,Uttarakhand,Chamoli,13,0,0,0,144.0
2020-06-01,Uttarakhand,Chamoli,13,0,0,0,728.0
2020-06-02,Uttarakhand,Chamoli,19,0,0,0,778.0
2020-06-03,Uttarakhand,Chamoli,25,0,0,0,802.0
2020-06-04,Uttarakhand,Chamoli,25,0,0,0,895.0
2020-06-05,Uttarakhand,Chamoli,27,11,0,0,968.0
2020-06-06,Uttarakhand,Chamoli,33,11,0,0,956.0
2020-06-07,Uttarakhand,Chamoli,33,11,0,0,969.0
2020-06-08,Uttarakhand,Chamoli,34,16,0,0,969.0
2020-06-09,Uttarakhand,Chamoli,34,23,0,0,969.0
2020-06-10,Uttarakhand,Chamoli,34,27,0,0,969.0
2020-06-11,Uttarakhand,Chamoli,37,28,0,0,1146.0
2020-06-12,Uttarakhand,Chamoli,40,28,0,0,1144.0
2020-06-13,Uttarakhand,Chamoli,43,28,0,0,1338.0
2020-06-14,Uttarakhand,Chamoli,44,29,0,0,1439.0
2020-06-15,Uttarakhand,Chamoli,44,34,0,0,1524.0
2020-06-16,Uttarakhand,Chamoli,44,34,0,0,1632.0
2020-06-17,Uttarakhand,Chamoli,44,37,0,0,1762.0
2020-06-18,Uttarakhand,Chamoli,47,37,0,0,1835.0
2020-06-19,Uttarakhand,Chamoli,47,40,0,0,1955.0
2020-06-20,Uttarakhand,Chamoli,54,40,0,0,2098.0
2020-06-21,Uttarakhand,Chamoli,63,40,0,0,2145.0
2020-06-22,Uttarakhand,Chamoli,63,42,0,0,2145.0
2020-06-23,Uttarakhand,Chamoli,67,42,0,0,2320.0
2020-06-24,Uttarakhand,Chamoli,67,44,0,0,2404.0
2020-06-25,Uttarakhand,Chamoli,67,44,0,0,2469.0
2020-06-26,Uttarakhand,Chamoli,69,47,0,0,2501.0
2020-06-27,Uttarakhand,Chamoli,71,52,0,0,2527.0
2020-06-28,Uttarakhand,Chamoli,73,57,0,0,2564.0
2020-06-29,Uttarakhand,Chamoli,73,59,0,0,2564.0
2020-06-30,Uttarakhand,Chamoli,74,62,0,0,2655.0
2020-07-01,Uttarakhand,Chamoli,74,62,0,0,2696.0
2020-07-02,Uttarakhand,Chamoli,74,62,0,0,2730.0
2020-07-03,Uttarakhand,Chamoli,76,65,0,0,2766.0
2020-07-04,Uttarakhand,Chamoli,76,65,0,0,2848.0
2020-07-05,Uttarakhand,Chamoli,76,66,0,0,2892.0
2020-07-06,Uttarakhand,Chamoli,76,71,0,0,2892.0
2020-07-07,Uttarakhand,Chamoli,76,72,0,0,2981.0
2020-07-08,Uttarakhand,Chamoli,76,73,0,0,3047.0
2020-07-09,Uttarakhand,Chamoli,76,73,0,0,3108.0
2020-07-10,Uttarakhand,Chamoli,76,73,0,0,3163.0
2020-07-11,Uttarakhand,Chamoli,77,76,0,0,3222.0
2020-07-12,Uttarakhand,Chamoli,77,76,0,0,3293.0
2020-07-13,Uttarakhand,Chamoli,78,76,0,0,3332.0
2020-07-14,Uttarakhand,Chamoli,78,76,0,0,3454.0
2020-07-15,Uttarakhand,Chamoli,78,76,0,0,3548.0
2020-07-16,Uttarakhand,Chamoli,81,76,0,0,3696.0
2020-07-17,Uttarakhand,Chamoli,81,76,0,0,3840.0
2020-07-18,Uttarakhand,Chamoli,81,76,0,0,3966.0
2020-07-19,Uttarakhand,Chamoli,82,77,0,0,4067.0
2020-07-20,Uttarakhand,Chamoli,82,78,0,0,4125.0
2020-07-21,Uttarakhand,Chamoli,82,78,0,0,4312.0
2020-07-22,Uttarakhand,Chamoli,82,80,0,0,4443.0
2020-07-23,Uttarakhand,Chamoli,82,81,0,0,4496.0
2020-07-24,Uttarakhand,Chamoli,82,81,0,0,4611.0
2020-07-25,Uttarakhand,Chamoli,82,81,0,0,4933.0
2020-07-26,Uttarakhand,Chamoli,83,81,0,0,4928.0
2020-07-27,Uttarakhand,Chamoli,83,82,0,0,5090.0
2020-07-28,Uttarakhand,Chamoli,85,82,0,0,5336.0
2020-07-29,Uttarakhand,Chamoli,85,82,0,0,5405.0
2020-07-30,Uttarakhand,Chamoli,91,82,0,0,5813.0
2020-07-31,Uttarakhand,Chamoli,92,82,0,0,6083.0
2020-08-01,Uttarakhand,Chamoli,92,82,0,0,6083.0
2020-08-02,Uttarakhand,Chamoli,97,82,0,0,6546.0
2020-08-03,Uttarakhand,Chamoli,97,82,0,0,6604.0
2020-08-04,Uttarakhand,Chamoli,98,82,0,0,7010.0
2020-08-05,Uttarakhand,Chamoli,101,83,0,0,7252.0
2020-08-06,Uttarakhand,Chamoli,110,85,0,0,7531.0
2020-08-07,Uttarakhand,Chamoli,111,88,0,0,7885.0
2020-08-08,Uttarakhand,Chamoli,112,88,0,0,8068.0
2020-08-09,Uttarakhand,Chamoli,113,88,0,0,8329.0
2020-08-10,Uttarakhand,Chamoli,119,88,0,0,8714.0
2020-08-11,Uttarakhand,Chamoli,119,92,0,0,8842.0
2020-08-12,Uttarakhand,Chamoli,155,93,0,0,9264.0
2020-08-13,Uttarakhand,Chamoli,155,103,0,0,9615.0
2020-08-14,Uttarakhand,Chamoli,156,103,0,0,9760.0
2020-08-15,Uttarakhand,Chamoli,169,103,0,0,9922.0
2020-08-16,Uttarakhand,Chamoli,194,107,0,0,10009.0
2020-08-17,Uttarakhand,Chamoli,195,118,0,0,10269.0
2020-08-18,Uttarakhand,Chamoli,195,120,0,0,10669.0
2020-08-19,Uttarakhand,Chamoli,214,133,0,0,10924.0
2020-08-20,Uttarakhand,Chamoli,223,134,0,0,11227.0
2020-08-21,Uttarakhand,Chamoli,228,136,0,0,11467.0
2020-08-22,Uttarakhand,Chamoli,232,153,0,0,11667.0
2020-08-23,Uttarakhand,Chamoli,241,173,0,0,11741.0
2020-08-24,Uttarakhand,Chamoli,244,182,0,0,12194.0
2020-08-25,Uttarakhand,Chamoli,244,182,0,0,12455.0
2020-08-26,Uttarakhand,Chamoli,266,185,0,2,13784.0
2020-08-27,Uttarakhand,Chamoli,267,188,0,2,14101.0
2020-08-28,Uttarakhand,Chamoli,325,191,0,2,14533.0
2020-08-29,Uttarakhand,Chamoli,330,194,0,2,15345.0
2020-08-30,Uttarakhand,Chamoli,354,209,0,2,15690.0
2020-08-31,Uttarakhand,Chamoli,354,236,0,3,16205.0
2020-09-01,Uttarakhand,Chamoli,357,237,0,3,16604.0
2020-09-02,Uttarakhand,Chamoli,364,243,0,3,16930.0
2020-09-03,Uttarakhand,Chamoli,365,243,0,3,17280.0
2020-09-04,Uttarakhand,Chamoli,368,295,0,3,17889.0
2020-09-05,Uttarakhand,Chamoli,398,299,0,3,18498.0
2020-09-06,Uttarakhand,Chamoli,416,299,0,3,19093.0
2020-09-07,Uttarakhand,Chamoli,428,301,0,3,19643.0
2020-09-08,Uttarakhand,Chamoli,434,306,0,3,20099.0
