Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttarakhand,Dehradun,28,14,0,0,
2020-04-27,Uttarakhand,Dehradun,28,14,0,0,
2020-04-28,Uttarakhand,Dehradun,31,14,0,0,
2020-04-29,Uttarakhand,Dehradun,31,16,0,0,
2020-04-30,Uttarakhand,Dehradun,31,17,0,0,
2020-05-01,Uttarakhand,Dehradun,31,18,1,0,
2020-05-02,Uttarakhand,Dehradun,33,20,1,0,
2020-05-03,Uttarakhand,Dehradun,33,20,1,0,
2020-05-04,Uttarakhand,Dehradun,33,20,1,0,
2020-05-05,Uttarakhand,Dehradun,34,20,1,0,
2020-05-06,Uttarakhand,Dehradun,34,20,1,0,
2020-05-07,Uttarakhand,Dehradun,34,20,1,0,
2020-05-08,Uttarakhand,Dehradun,34,26,1,0,
2020-05-09,Uttarakhand,Dehradun,34,26,1,0,
2020-05-10,Uttarakhand,Dehradun,35,26,1,0,
2020-05-11,Uttarakhand,Dehradun,35,26,1,0,
2020-05-12,Uttarakhand,Dehradun,35,26,1,0,
2020-05-13,Uttarakhand,Dehradun,36,26,1,0,
2020-05-14,Uttarakhand,Dehradun,39,28,1,0,
2020-05-15,Uttarakhand,Dehradun,40,28,1,0,
2020-05-16,Uttarakhand,Dehradun,44,28,1,0,
2020-05-17,Uttarakhand,Dehradun,45,28,1,0,
2020-05-18,Uttarakhand,Dehradun,47,28,1,0,
2020-05-19,Uttarakhand,Dehradun,47,28,1,0,5989.0
2020-05-20,Uttarakhand,Dehradun,47,29,1,0,6207.0
2020-05-21,Uttarakhand,Dehradun,47,29,1,0,6400.0
2020-05-22,Uttarakhand,Dehradun,54,29,1,0,6593.0
2020-05-23,Uttarakhand,Dehradun,63,29,1,0,6803.0
2020-05-24,Uttarakhand,Dehradun,75,29,3,0,6970.0
2020-05-25,Uttarakhand,Dehradun,76,29,4,0,6970.0
2020-05-26,Uttarakhand,Dehradun,79,35,4,0,6970.0
2020-05-27,Uttarakhand,Dehradun,83,35,4,0,6970.0
2020-05-28,Uttarakhand,Dehradun,92,35,4,0,6970.0
