Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-19,Uttarakhand,Tehri Garhwal,0,0,0,0,50.0
2020-05-20,Uttarakhand,Tehri Garhwal,6,0,0,0,60.0
2020-05-21,Uttarakhand,Tehri Garhwal,6,0,0,0,108.0
2020-05-22,Uttarakhand,Tehri Garhwal,6,0,0,0,136.0
2020-05-23,Uttarakhand,Tehri Garhwal,6,0,0,0,136.0
2020-05-24,Uttarakhand,Tehri Garhwal,9,0,0,0,459.0
2020-05-25,Uttarakhand,Tehri Garhwal,11,0,0,0,459.0
2020-05-26,Uttarakhand,Tehri Garhwal,25,0,0,0,459.0
2020-05-27,Uttarakhand,Tehri Garhwal,52,0,0,0,459.0
2020-05-28,Uttarakhand,Tehri Garhwal,62,0,0,0,459.0
2020-05-29,Uttarakhand,Tehri Garhwal,70,0,0,0,459.0
2020-05-30,Uttarakhand,Tehri Garhwal,74,0,0,0,459.0
2020-05-31,Uttarakhand,Tehri Garhwal,77,0,0,0,459.0
2020-06-01,Uttarakhand,Tehri Garhwal,77,0,0,0,1949.0
2020-06-02,Uttarakhand,Tehri Garhwal,91,0,0,0,2157.0
2020-06-03,Uttarakhand,Tehri Garhwal,91,5,0,0,2444.0
2020-06-04,Uttarakhand,Tehri Garhwal,101,5,0,0,2612.0
2020-06-05,Uttarakhand,Tehri Garhwal,109,5,0,0,2653.0
2020-06-06,Uttarakhand,Tehri Garhwal,118,34,0,0,2667.0
2020-06-07,Uttarakhand,Tehri Garhwal,121,98,0,0,2596.0
2020-06-08,Uttarakhand,Tehri Garhwal,149,98,0,0,2596.0
2020-06-09,Uttarakhand,Tehri Garhwal,221,98,0,0,2596.0
2020-06-10,Uttarakhand,Tehri Garhwal,223,98,0,0,2596.0
2020-06-11,Uttarakhand,Tehri Garhwal,256,99,0,0,2918.0
2020-06-12,Uttarakhand,Tehri Garhwal,259,99,0,0,2985.0
2020-06-13,Uttarakhand,Tehri Garhwal,282,192,0,0,3106.0
2020-06-14,Uttarakhand,Tehri Garhwal,291,192,0,0,3235.0
2020-06-15,Uttarakhand,Tehri Garhwal,294,252,0,0,3393.0
2020-06-16,Uttarakhand,Tehri Garhwal,308,254,0,0,3489.0
2020-06-17,Uttarakhand,Tehri Garhwal,317,254,0,0,3489.0
2020-06-18,Uttarakhand,Tehri Garhwal,318,262,0,0,3530.0
2020-06-19,Uttarakhand,Tehri Garhwal,346,262,0,0,3644.0
2020-06-20,Uttarakhand,Tehri Garhwal,370,262,0,0,3644.0
2020-06-21,Uttarakhand,Tehri Garhwal,376,263,0,0,3678.0
2020-06-22,Uttarakhand,Tehri Garhwal,377,263,0,0,3678.0
2020-06-23,Uttarakhand,Tehri Garhwal,392,321,0,0,3734.0
2020-06-24,Uttarakhand,Tehri Garhwal,409,321,2,0,3847.0
2020-06-25,Uttarakhand,Tehri Garhwal,410,322,2,0,3914.0
2020-06-26,Uttarakhand,Tehri Garhwal,410,322,2,0,3952.0
2020-06-27,Uttarakhand,Tehri Garhwal,412,322,2,0,3987.0
2020-06-28,Uttarakhand,Tehri Garhwal,416,354,2,0,3990.0
2020-06-29,Uttarakhand,Tehri Garhwal,416,355,2,0,4016.0
2020-06-30,Uttarakhand,Tehri Garhwal,416,383,2,0,4029.0
2020-07-01,Uttarakhand,Tehri Garhwal,420,383,2,0,4031.0
2020-07-02,Uttarakhand,Tehri Garhwal,420,402,2,0,4066.0
2020-07-03,Uttarakhand,Tehri Garhwal,420,415,2,0,4101.0
2020-07-04,Uttarakhand,Tehri Garhwal,421,416,2,0,4105.0
2020-07-05,Uttarakhand,Tehri Garhwal,421,416,2,0,4115.0
2020-07-06,Uttarakhand,Tehri Garhwal,420,418,2,0,4169.0
2020-07-07,Uttarakhand,Tehri Garhwal,421,418,2,0,4231.0
2020-07-08,Uttarakhand,Tehri Garhwal,421,418,2,0,4301.0
2020-07-09,Uttarakhand,Tehri Garhwal,426,418,2,0,4339.0
2020-07-10,Uttarakhand,Tehri Garhwal,427,418,2,0,4430.0
2020-07-11,Uttarakhand,Tehri Garhwal,429,419,2,0,4482.0
2020-07-12,Uttarakhand,Tehri Garhwal,431,419,2,0,4487.0
2020-07-13,Uttarakhand,Tehri Garhwal,432,419,2,0,4760.0
2020-07-14,Uttarakhand,Tehri Garhwal,437,419,2,0,4905.0
2020-07-15,Uttarakhand,Tehri Garhwal,437,419,2,0,5046.0
2020-07-16,Uttarakhand,Tehri Garhwal,447,424,2,0,5203.0
2020-07-17,Uttarakhand,Tehri Garhwal,447,424,2,0,5328.0
2020-07-18,Uttarakhand,Tehri Garhwal,450,425,2,0,5499.0
2020-07-19,Uttarakhand,Tehri Garhwal,450,425,2,0,5712.0
2020-07-20,Uttarakhand,Tehri Garhwal,456,432,2,0,5912.0
2020-07-21,Uttarakhand,Tehri Garhwal,477,434,2,0,6248.0
2020-07-22,Uttarakhand,Tehri Garhwal,488,434,2,0,6444.0
2020-07-23,Uttarakhand,Tehri Garhwal,492,441,2,0,6502.0
