Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttarakhand,Udham Singh Nagar,4,4,0,0,
2020-04-27,Uttarakhand,Udham Singh Nagar,4,4,0,0,
2020-04-28,Uttarakhand,Udham Singh Nagar,4,4,0,0,
2020-04-29,Uttarakhand,Udham Singh Nagar,5,4,0,0,
2020-04-30,Uttarakhand,Udham Singh Nagar,7,4,0,0,
2020-05-01,Uttarakhand,Udham Singh Nagar,7,4,0,0,
2020-05-02,Uttarakhand,Udham Singh Nagar,7,4,0,0,
2020-05-03,Uttarakhand,Udham Singh Nagar,8,4,0,0,
2020-05-04,Uttarakhand,Udham Singh Nagar,8,4,0,0,
2020-05-05,Uttarakhand,Udham Singh Nagar,8,4,0,0,
2020-05-06,Uttarakhand,Udham Singh Nagar,8,4,0,0,
2020-05-07,Uttarakhand,Udham Singh Nagar,8,4,0,0,
2020-05-08,Uttarakhand,Udham Singh Nagar,9,4,0,0,
2020-05-09,Uttarakhand,Udham Singh Nagar,13,4,0,0,
2020-05-10,Uttarakhand,Udham Singh Nagar,13,4,0,0,
2020-05-11,Uttarakhand,Udham Singh Nagar,13,4,0,0,
2020-05-12,Uttarakhand,Udham Singh Nagar,13,4,0,0,
2020-05-13,Uttarakhand,Udham Singh Nagar,13,4,0,0,
2020-05-14,Uttarakhand,Udham Singh Nagar,16,4,0,0,
2020-05-15,Uttarakhand,Udham Singh Nagar,16,5,0,0,
2020-05-16,Uttarakhand,Udham Singh Nagar,20,5,0,0,
2020-05-17,Uttarakhand,Udham Singh Nagar,20,5,0,0,
2020-05-18,Uttarakhand,Udham Singh Nagar,20,5,0,0,
2020-05-19,Uttarakhand,Udham Singh Nagar,23,5,0,0,2568.0
2020-05-20,Uttarakhand,Udham Singh Nagar,27,5,0,0,2619.0
2020-05-21,Uttarakhand,Udham Singh Nagar,29,5,0,0,2658.0
2020-05-22,Uttarakhand,Udham Singh Nagar,31,5,0,0,2917.0
2020-05-23,Uttarakhand,Udham Singh Nagar,34,7,0,0,3013.0
2020-05-24,Uttarakhand,Udham Singh Nagar,43,7,0,0,3036.0
2020-05-25,Uttarakhand,Udham Singh Nagar,48,7,0,0,3036.0
2020-05-26,Uttarakhand,Udham Singh Nagar,50,7,0,0,3036.0
2020-05-27,Uttarakhand,Udham Singh Nagar,57,10,0,0,3036.0
2020-05-28,Uttarakhand,Udham Singh Nagar,57,10,0,0,3036.0
2020-05-29,Uttarakhand,Udham Singh Nagar,62,27,0,0,3036.0
2020-05-30,Uttarakhand,Udham Singh Nagar,62,27,0,0,3036.0
2020-05-31,Uttarakhand,Udham Singh Nagar,82,27,0,0,3036.0
2020-06-01,Uttarakhand,Udham Singh Nagar,82,39,0,0,3914.0
2020-06-02,Uttarakhand,Udham Singh Nagar,82,43,0,0,3975.0
