Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-24,Uttarakhand,Unknown,0,0,0,1,
2020-05-25,Uttarakhand,Unknown,0,0,0,3,
2020-05-26,Uttarakhand,Unknown,0,0,0,3,
2020-05-27,Uttarakhand,Unknown,0,0,0,3,
2020-05-28,Uttarakhand,Unknown,0,0,0,3,
2020-05-29,Uttarakhand,Unknown,0,0,0,3,
2020-05-30,Uttarakhand,Unknown,0,0,0,3,
2020-05-31,Uttarakhand,Unknown,0,0,0,3,
2020-06-01,Uttarakhand,Unknown,0,0,0,3,
2020-06-02,Uttarakhand,Unknown,0,0,0,3,
2020-06-03,Uttarakhand,Unknown,0,0,0,0,
2020-06-04,Uttarakhand,Unknown,0,0,0,1,
2020-06-05,Uttarakhand,Unknown,0,0,0,1,
2020-06-06,Uttarakhand,Unknown,0,0,0,1,
2020-06-07,Uttarakhand,Unknown,0,0,0,1,
2020-06-08,Uttarakhand,Unknown,0,0,0,1,
2020-06-09,Uttarakhand,Unknown,0,0,0,1,
2020-06-10,Uttarakhand,Unknown,0,0,0,1,
2020-06-11,Uttarakhand,Unknown,0,0,1,1,
2020-06-12,Uttarakhand,Unknown,0,0,1,1,
2020-06-13,Uttarakhand,Unknown,0,0,0,1,
2020-06-14,Uttarakhand,Unknown,0,0,0,2,
2020-06-15,Uttarakhand,Unknown,0,0,0,2,
2020-06-16,Uttarakhand,Unknown,0,0,0,2,
2020-06-17,Uttarakhand,Unknown,0,0,1,2,
2020-06-18,Uttarakhand,Unknown,0,0,0,2,
2020-06-19,Uttarakhand,Unknown,0,0,0,0,
