Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-09,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-10,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-11,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-12,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-13,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-14,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-15,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-16,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-17,Uttarakhand,Uttarkashi,1,0,0,0,
2020-05-18,Uttarakhand,Uttarkashi,2,0,0,0,
2020-05-19,Uttarakhand,Uttarkashi,2,0,0,0,394.0
2020-05-20,Uttarakhand,Uttarkashi,3,0,0,0,406.0
2020-05-21,Uttarakhand,Uttarkashi,6,0,0,0,417.0
2020-05-22,Uttarakhand,Uttarkashi,7,0,0,0,490.0
2020-05-23,Uttarakhand,Uttarkashi,10,0,0,0,486.0
2020-05-24,Uttarakhand,Uttarkashi,10,1,0,0,521.0
2020-05-25,Uttarakhand,Uttarkashi,10,1,0,0,521.0
2020-05-26,Uttarakhand,Uttarkashi,10,1,0,0,521.0
2020-05-27,Uttarakhand,Uttarkashi,10,1,0,0,521.0
2020-05-28,Uttarakhand,Uttarkashi,10,1,0,0,521.0
2020-05-29,Uttarakhand,Uttarkashi,14,1,0,0,521.0
2020-05-30,Uttarakhand,Uttarkashi,14,1,0,0,521.0
2020-05-31,Uttarakhand,Uttarkashi,21,1,0,0,521.0
2020-06-01,Uttarakhand,Uttarkashi,21,7,0,0,651.0
2020-06-02,Uttarakhand,Uttarkashi,21,7,0,0,661.0
2020-06-03,Uttarakhand,Uttarkashi,21,7,0,0,661.0
2020-06-04,Uttarakhand,Uttarkashi,22,7,0,0,670.0
2020-06-05,Uttarakhand,Uttarkashi,22,7,0,0,676.0
2020-06-06,Uttarakhand,Uttarkashi,23,7,0,0,713.0
