Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-23,West Bengal,Bankura,1,0,0,0,
2020-05-24,West Bengal,Bankura,1,0,0,0,
2020-05-25,West Bengal,Bankura,3,0,0,0,
2020-05-26,West Bengal,Bankura,3,0,0,0,
2020-05-27,West Bengal,Bankura,15,0,0,0,
2020-05-28,West Bengal,Bankura,19,2,0,0,
2020-05-29,West Bengal,Bankura,21,2,0,0,
2020-05-30,West Bengal,Bankura,28,11,0,0,
2020-05-31,West Bengal,Bankura,36,18,0,0,
2020-06-01,West Bengal,Bankura,43,18,0,0,
2020-06-02,West Bengal,Bankura,56,18,0,0,
2020-06-03,West Bengal,Bankura,71,19,0,0,
2020-06-04,West Bengal,Bankura,95,33,0,0,
2020-06-05,West Bengal,Bankura,104,33,0,0,
2020-06-06,West Bengal,Bankura,104,41,0,0,
2020-06-07,West Bengal,Bankura,115,42,0,0,
2020-06-08,West Bengal,Bankura,140,43,0,0,
2020-06-09,West Bengal,Bankura,140,43,0,0,
2020-06-10,West Bengal,Bankura,153,43,0,0,
2020-06-11,West Bengal,Bankura,171,43,0,0,
2020-06-12,West Bengal,Bankura,176,43,0,0,
2020-06-13,West Bengal,Bankura,179,87,0,0,
2020-06-14,West Bengal,Bankura,179,87,0,0,
2020-06-15,West Bengal,Bankura,180,88,0,0,
2020-06-16,West Bengal,Bankura,182,88,0,0,
2020-06-17,West Bengal,Bankura,183,120,0,0,
2020-06-18,West Bengal,Bankura,183,120,0,0,
2020-06-19,West Bengal,Bankura,190,138,0,0,
2020-06-20,West Bengal,Bankura,194,139,0,0,
2020-06-21,West Bengal,Bankura,197,139,0,0,
2020-06-22,West Bengal,Bankura,201,145,0,0,
2020-06-23,West Bengal,Bankura,218,158,0,0,
2020-06-24,West Bengal,Bankura,221,177,0,0,
2020-06-25,West Bengal,Bankura,223,177,0,0,
2020-06-26,West Bengal,Bankura,232,180,0,0,
2020-06-27,West Bengal,Bankura,237,180,0,0,
2020-06-28,West Bengal,Bankura,241,189,0,0,
2020-06-29,West Bengal,Bankura,242,189,0,0,
2020-06-30,West Bengal,Bankura,248,203,1,0,
2020-07-01,West Bengal,Bankura,248,205,0,0,
2020-07-02,West Bengal,Bankura,254,208,0,0,
2020-07-03,West Bengal,Bankura,259,210,0,0,
2020-07-04,West Bengal,Bankura,261,218,0,0,
2020-07-05,West Bengal,Bankura,267,228,0,0,
2020-07-06,West Bengal,Bankura,274,237,0,0,
2020-07-07,West Bengal,Bankura,276,238,0,0,
2020-07-08,West Bengal,Bankura,286,238,0,0,
2020-07-09,West Bengal,Bankura,297,245,0,0,
2020-07-10,West Bengal,Bankura,303,246,0,0,
2020-07-11,West Bengal,Bankura,304,256,0,0,
2020-07-12,West Bengal,Bankura,316,257,0,0,
2020-07-13,West Bengal,Bankura,324,259,0,0,
2020-07-14,West Bengal,Bankura,325,265,0,0,
2020-07-15,West Bengal,Bankura,334,272,0,0,
2020-07-16,West Bengal,Bankura,339,273,0,0,
2020-07-17,West Bengal,Bankura,356,283,0,0,
2020-07-18,West Bengal,Bankura,369,298,0,0,
2020-07-19,West Bengal,Bankura,378,298,0,0,
2020-07-20,West Bengal,Bankura,389,310,0,0,
2020-07-21,West Bengal,Bankura,398,320,0,0,
2020-07-22,West Bengal,Bankura,402,328,0,0,
2020-07-23,West Bengal,Bankura,425,334,0,0,
2020-07-24,West Bengal,Bankura,443,347,0,0,
2020-07-25,West Bengal,Bankura,488,360,0,0,
2020-07-26,West Bengal,Bankura,527,370,0,0,
2020-07-27,West Bengal,Bankura,558,380,0,0,
2020-07-28,West Bengal,Bankura,606,388,0,0,
2020-07-29,West Bengal,Bankura,665,393,0,0,
2020-07-30,West Bengal,Bankura,678,412,0,0,
2020-07-31,West Bengal,Bankura,732,434,0,0,
2020-08-01,West Bengal,Bankura,747,479,0,0,
2020-08-02,West Bengal,Bankura,779,517,0,0,
2020-08-03,West Bengal,Bankura,831,546,0,0,
2020-08-04,West Bengal,Bankura,848,594,0,0,
2020-08-05,West Bengal,Bankura,875,651,0,0,
2020-08-06,West Bengal,Bankura,906,663,0,0,
2020-08-07,West Bengal,Bankura,934,720,0,0,
2020-08-08,West Bengal,Bankura,963,728,0,0,
2020-08-09,West Bengal,Bankura,1049,760,0,0,
2020-08-10,West Bengal,Bankura,1103,810,0,0,
2020-08-11,West Bengal,Bankura,1192,828,0,0,
2020-08-12,West Bengal,Bankura,1237,850,0,0,
2020-08-13,West Bengal,Bankura,1271,881,0,0,
2020-08-14,West Bengal,Bankura,1303,910,0,0,
2020-08-15,West Bengal,Bankura,1343,930,0,0,
2020-08-16,West Bengal,Bankura,1404,1010,0,0,
2020-08-17,West Bengal,Bankura,1510,1061,0,0,
2020-08-18,West Bengal,Bankura,1579,1136,0,0,
2020-08-19,West Bengal,Bankura,1643,1193,0,0,
2020-08-20,West Bengal,Bankura,1702,1219,0,0,
2020-08-21,West Bengal,Bankura,1769,1264,0,0,
2020-08-22,West Bengal,Bankura,1866,1317,0,0,
2020-08-23,West Bengal,Bankura,1971,1371,0,0,
2020-08-24,West Bengal,Bankura,2073,1469,0,0,
2020-08-25,West Bengal,Bankura,2135,1542,1,0,
2020-08-26,West Bengal,Bankura,2231,1569,3,0,
2020-08-27,West Bengal,Bankura,2277,1636,5,0,
2020-08-28,West Bengal,Bankura,2335,1706,8,0,
2020-08-29,West Bengal,Bankura,2394,1777,11,0,
2020-08-30,West Bengal,Bankura,2471,1908,16,0,
2020-08-31,West Bengal,Bankura,2567,2016,17,0,
2020-09-01,West Bengal,Bankura,2649,2081,20,0,
2020-09-02,West Bengal,Bankura,2752,2168,21,0,
2020-09-03,West Bengal,Bankura,2850,2218,22,0,
2020-09-04,West Bengal,Bankura,2948,2311,22,0,
2020-09-05,West Bengal,Bankura,3081,2375,23,0,
2020-09-06,West Bengal,Bankura,3173,2458,24,0,
2020-09-07,West Bengal,Bankura,3280,2561,25,0,
2020-09-08,West Bengal,Bankura,3410,2675,25,0,
2020-09-09,West Bengal,Bankura,3481,2739,26,0,
2020-09-10,West Bengal,Bankura,3574,2836,26,0,
2020-09-11,West Bengal,Bankura,3676,2951,26,0,
2020-09-12,West Bengal,Bankura,3768,3100,26,0,
2020-09-13,West Bengal,Bankura,3864,3196,29,0,
2020-09-14,West Bengal,Bankura,3993,3262,30,0,
2020-09-15,West Bengal,Bankura,4082,3341,32,0,
2020-09-16,West Bengal,Bankura,4193,3458,34,0,
2020-09-17,West Bengal,Bankura,4300,3541,34,0,
2020-09-18,West Bengal,Bankura,4409,3621,36,0,
2020-09-19,West Bengal,Bankura,4503,3729,38,0,
2020-09-20,West Bengal,Bankura,4590,3820,38,0,
2020-09-21,West Bengal,Bankura,4738,3949,43,0,
2020-09-22,West Bengal,Bankura,4867,4037,44,0,
2020-09-23,West Bengal,Bankura,4950,4100,46,0,
2020-09-24,West Bengal,Bankura,5049,4199,47,0,
2020-09-25,West Bengal,Bankura,5105,4306,49,0,
2020-09-26,West Bengal,Bankura,5178,4395,51,0,
2020-09-27,West Bengal,Bankura,5251,4497,51,0,
2020-09-28,West Bengal,Bankura,5347,4629,52,0,
2020-09-29,West Bengal,Bankura,5452,4761,57,0,
2020-09-30,West Bengal,Bankura,5533,4848,57,0,
2020-10-01,West Bengal,Bankura,5595,4944,57,0,
2020-10-02,West Bengal,Bankura,5660,5000,59,0,
2020-10-03,West Bengal,Bankura,5709,5067,59,0,
2020-10-04,West Bengal,Bankura,5765,5154,59,0,
2020-10-05,West Bengal,Bankura,5805,5244,63,0,
2020-10-06,West Bengal,Bankura,5877,5335,63,0,
2020-10-07,West Bengal,Bankura,5956,5428,63,0,
2020-10-08,West Bengal,Bankura,6023,5452,63,0,
2020-10-09,West Bengal,Bankura,6099,5512,65,0,
2020-10-10,West Bengal,Bankura,6181,5571,66,0,
2020-10-11,West Bengal,Bankura,6245,5618,67,0,
2020-10-12,West Bengal,Bankura,6318,5678,67,0,
2020-10-13,West Bengal,Bankura,6406,5719,67,0,
2020-10-14,West Bengal,Bankura,6485,5784,69,0,
2020-10-15,West Bengal,Bankura,6560,5871,69,0,
2020-10-16,West Bengal,Bankura,6648,5944,69,0,
2020-10-17,West Bengal,Bankura,6746,6021,69,0,
2020-10-18,West Bengal,Bankura,6823,6100,69,0,
2020-10-19,West Bengal,Bankura,6908,6113,69,0,
2020-10-20,West Bengal,Bankura,6978,6189,70,0,
2020-10-21,West Bengal,Bankura,7033,6262,70,0,
2020-10-22,West Bengal,Bankura,7115,6309,71,0,
2020-10-23,West Bengal,Bankura,7190,6386,71,0,
2020-10-24,West Bengal,Bankura,7265,6474,71,0,
2020-10-25,West Bengal,Bankura,7353,6567,71,0,
2020-10-26,West Bengal,Bankura,7468,6645,71,0,
2020-10-27,West Bengal,Bankura,7560,6655,73,0,
2020-10-28,West Bengal,Bankura,7645,6753,74,0,
2020-10-29,West Bengal,Bankura,7645,6753,74,0,
