Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,West Bengal,Birbhum,3,0,0,0,
2020-05-04,West Bengal,Birbhum,3,0,0,0,
2020-05-05,West Bengal,Birbhum,3,0,0,0,
2020-05-06,West Bengal,Birbhum,3,0,0,0,
2020-05-07,West Bengal,Birbhum,6,0,0,0,
2020-05-08,West Bengal,Birbhum,6,3,0,0,
2020-05-09,West Bengal,Birbhum,6,3,0,0,
2020-05-10,West Bengal,Birbhum,6,3,0,0,
2020-05-11,West Bengal,Birbhum,7,3,0,0,
2020-05-12,West Bengal,Birbhum,7,4,0,0,
2020-05-13,West Bengal,Birbhum,7,6,0,0,
2020-05-14,West Bengal,Birbhum,7,6,0,0,
2020-05-15,West Bengal,Birbhum,7,6,0,0,
2020-05-16,West Bengal,Birbhum,7,6,0,0,
2020-05-17,West Bengal,Birbhum,7,6,0,0,
2020-05-18,West Bengal,Birbhum,11,6,0,0,
2020-05-19,West Bengal,Birbhum,12,6,0,0,
2020-05-20,West Bengal,Birbhum,16,6,0,0,
2020-05-21,West Bengal,Birbhum,16,6,0,0,
2020-05-22,West Bengal,Birbhum,17,6,0,0,
2020-05-23,West Bengal,Birbhum,18,6,0,0,
2020-05-24,West Bengal,Birbhum,20,6,0,0,
2020-05-25,West Bengal,Birbhum,22,6,0,0,
2020-05-26,West Bengal,Birbhum,32,7,0,0,
2020-05-27,West Bengal,Birbhum,33,11,0,0,
2020-05-28,West Bengal,Birbhum,60,11,0,0,
2020-05-29,West Bengal,Birbhum,81,16,0,0,
2020-05-30,West Bengal,Birbhum,103,26,0,0,
2020-05-31,West Bengal,Birbhum,130,30,0,0,
2020-06-01,West Bengal,Birbhum,160,63,0,0,
2020-06-02,West Bengal,Birbhum,166,75,1,0,
2020-06-03,West Bengal,Birbhum,167,89,1,0,
2020-06-04,West Bengal,Birbhum,181,106,1,0,
2020-06-05,West Bengal,Birbhum,187,122,1,0,
2020-06-06,West Bengal,Birbhum,194,159,1,0,
2020-06-07,West Bengal,Birbhum,196,165,1,0,
2020-06-08,West Bengal,Birbhum,204,171,1,0,
2020-06-09,West Bengal,Birbhum,233,175,1,0,
2020-06-10,West Bengal,Birbhum,235,179,1,0,
2020-06-11,West Bengal,Birbhum,239,185,1,0,
2020-06-12,West Bengal,Birbhum,242,202,1,0,
2020-06-13,West Bengal,Birbhum,243,202,1,0,
2020-06-14,West Bengal,Birbhum,252,215,1,0,
2020-06-15,West Bengal,Birbhum,254,218,1,0,
2020-06-16,West Bengal,Birbhum,267,218,1,0,
2020-06-17,West Bengal,Birbhum,272,219,1,0,
2020-06-18,West Bengal,Birbhum,277,221,1,0,
2020-06-19,West Bengal,Birbhum,280,222,1,0,
2020-06-20,West Bengal,Birbhum,280,229,2,0,
2020-06-21,West Bengal,Birbhum,280,230,2,0,
2020-06-22,West Bengal,Birbhum,281,244,2,0,
2020-06-23,West Bengal,Birbhum,289,248,2,0,
2020-06-24,West Bengal,Birbhum,289,250,2,0,
2020-06-25,West Bengal,Birbhum,292,258,2,0,
2020-06-26,West Bengal,Birbhum,292,270,2,0,
2020-06-27,West Bengal,Birbhum,296,270,2,0,
