Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-10,West Bengal,Jhargram,3,0,0,0,
2020-05-11,West Bengal,Jhargram,3,0,0,0,
2020-05-12,West Bengal,Jhargram,3,0,0,0,
2020-05-13,West Bengal,Jhargram,3,0,0,0,
2020-05-14,West Bengal,Jhargram,3,0,0,0,
2020-05-15,West Bengal,Jhargram,3,0,0,0,
2020-05-16,West Bengal,Jhargram,3,0,0,0,
2020-05-17,West Bengal,Jhargram,3,0,0,0,
2020-05-18,West Bengal,Jhargram,3,0,0,0,
2020-05-19,West Bengal,Jhargram,3,0,0,0,
2020-05-20,West Bengal,Jhargram,3,0,0,0,
2020-05-21,West Bengal,Jhargram,3,0,0,0,
2020-05-22,West Bengal,Jhargram,3,0,0,0,
2020-05-23,West Bengal,Jhargram,3,3,0,0,
2020-05-24,West Bengal,Jhargram,3,3,0,0,
2020-05-25,West Bengal,Jhargram,3,3,0,0,
2020-05-26,West Bengal,Jhargram,3,3,0,0,
2020-05-27,West Bengal,Jhargram,6,3,0,0,
2020-05-28,West Bengal,Jhargram,6,3,0,0,
2020-05-29,West Bengal,Jhargram,6,3,0,0,
2020-05-30,West Bengal,Jhargram,6,3,0,0,
2020-05-31,West Bengal,Jhargram,6,3,0,0,
2020-06-01,West Bengal,Jhargram,6,3,0,0,
2020-06-02,West Bengal,Jhargram,6,6,0,0,
2020-06-03,West Bengal,Jhargram,6,6,0,0,
2020-06-04,West Bengal,Jhargram,6,6,0,0,
2020-06-05,West Bengal,Jhargram,6,6,0,0,
2020-06-06,West Bengal,Jhargram,6,6,0,0,
2020-06-07,West Bengal,Jhargram,11,6,0,0,
2020-06-08,West Bengal,Jhargram,11,6,0,0,
2020-06-09,West Bengal,Jhargram,11,6,0,0,
2020-06-10,West Bengal,Jhargram,11,6,0,0,
2020-06-11,West Bengal,Jhargram,11,11,0,0,
2020-06-12,West Bengal,Jhargram,11,11,0,0,
2020-06-13,West Bengal,Jhargram,11,11,0,0,
2020-06-14,West Bengal,Jhargram,11,11,0,0,
2020-06-15,West Bengal,Jhargram,19,11,0,0,
2020-06-16,West Bengal,Jhargram,19,11,0,0,
2020-06-17,West Bengal,Jhargram,19,11,0,0,
2020-06-18,West Bengal,Jhargram,19,11,0,0,
2020-06-19,West Bengal,Jhargram,19,11,0,0,
2020-06-20,West Bengal,Jhargram,19,18,0,0,
2020-06-21,West Bengal,Jhargram,19,18,0,0,
2020-06-22,West Bengal,Jhargram,19,19,0,0,
2020-06-23,West Bengal,Jhargram,19,19,0,0,
2020-06-24,West Bengal,Jhargram,19,19,0,0,
2020-06-25,West Bengal,Jhargram,19,19,0,0,
2020-06-26,West Bengal,Jhargram,19,19,0,0,
2020-06-27,West Bengal,Jhargram,19,19,0,0,
2020-06-28,West Bengal,Jhargram,19,19,0,0,
2020-06-29,West Bengal,Jhargram,19,19,0,0,
2020-06-30,West Bengal,Jhargram,19,19,0,0,
2020-07-01,West Bengal,Jhargram,19,19,0,0,
2020-07-02,West Bengal,Jhargram,19,19,0,0,
2020-07-03,West Bengal,Jhargram,19,19,0,0,
2020-07-04,West Bengal,Jhargram,19,19,0,0,
2020-07-05,West Bengal,Jhargram,20,19,0,0,
2020-07-06,West Bengal,Jhargram,25,19,0,0,
2020-07-07,West Bengal,Jhargram,25,19,0,0,
2020-07-08,West Bengal,Jhargram,25,19,0,0,
2020-07-09,West Bengal,Jhargram,25,19,0,0,
2020-07-10,West Bengal,Jhargram,25,25,0,0,
2020-07-11,West Bengal,Jhargram,25,25,0,0,
2020-07-12,West Bengal,Jhargram,25,25,0,0,
2020-07-13,West Bengal,Jhargram,25,25,0,0,
2020-07-14,West Bengal,Jhargram,25,25,0,0,
2020-07-15,West Bengal,Jhargram,25,25,0,0,
2020-07-16,West Bengal,Jhargram,28,25,0,0,
2020-07-17,West Bengal,Jhargram,28,25,0,0,
2020-07-18,West Bengal,Jhargram,28,25,0,0,
2020-07-19,West Bengal,Jhargram,28,25,0,0,
2020-07-20,West Bengal,Jhargram,28,25,0,0,
2020-07-21,West Bengal,Jhargram,28,28,0,0,
2020-07-22,West Bengal,Jhargram,28,28,0,0,
2020-07-23,West Bengal,Jhargram,28,28,0,0,
2020-07-24,West Bengal,Jhargram,28,28,0,0,
2020-07-25,West Bengal,Jhargram,28,28,0,0,
2020-07-26,West Bengal,Jhargram,28,28,0,0,
2020-07-27,West Bengal,Jhargram,28,28,0,0,
2020-07-28,West Bengal,Jhargram,28,28,0,0,
2020-07-29,West Bengal,Jhargram,28,28,0,0,
2020-07-30,West Bengal,Jhargram,28,28,0,0,
2020-07-31,West Bengal,Jhargram,28,28,0,0,
2020-08-01,West Bengal,Jhargram,30,28,0,0,
2020-08-02,West Bengal,Jhargram,32,28,0,0,
2020-08-03,West Bengal,Jhargram,36,28,0,0,
2020-08-04,West Bengal,Jhargram,38,31,0,0,
2020-08-05,West Bengal,Jhargram,38,31,0,0,
2020-08-06,West Bengal,Jhargram,55,31,0,0,
2020-08-07,West Bengal,Jhargram,55,31,0,0,
2020-08-08,West Bengal,Jhargram,60,36,0,0,
2020-08-09,West Bengal,Jhargram,79,36,0,0,
2020-08-10,West Bengal,Jhargram,84,38,0,0,
2020-08-11,West Bengal,Jhargram,99,38,0,0,
2020-08-12,West Bengal,Jhargram,106,62,2,0,
2020-08-13,West Bengal,Jhargram,110,63,2,0,
2020-08-14,West Bengal,Jhargram,114,63,2,0,
2020-08-15,West Bengal,Jhargram,136,63,2,0,
2020-08-16,West Bengal,Jhargram,144,90,2,0,
2020-08-17,West Bengal,Jhargram,147,92,2,0,
2020-08-18,West Bengal,Jhargram,153,94,2,0,
2020-08-19,West Bengal,Jhargram,156,100,2,0,
2020-08-20,West Bengal,Jhargram,162,107,2,0,
2020-08-21,West Bengal,Jhargram,164,111,2,0,
2020-08-22,West Bengal,Jhargram,177,121,2,0,
2020-08-23,West Bengal,Jhargram,202,138,2,0,
2020-08-24,West Bengal,Jhargram,202,142,2,0,
2020-08-25,West Bengal,Jhargram,208,156,2,0,
2020-08-26,West Bengal,Jhargram,209,157,2,0,
2020-08-27,West Bengal,Jhargram,218,184,2,0,
2020-08-28,West Bengal,Jhargram,221,184,2,0,
2020-08-29,West Bengal,Jhargram,238,190,2,0,
2020-08-30,West Bengal,Jhargram,253,211,2,0,
2020-08-31,West Bengal,Jhargram,262,218,2,0,
2020-09-01,West Bengal,Jhargram,264,223,2,0,
2020-09-02,West Bengal,Jhargram,267,225,2,0,
2020-09-03,West Bengal,Jhargram,270,228,2,0,
2020-09-04,West Bengal,Jhargram,282,232,2,0,
2020-09-05,West Bengal,Jhargram,290,242,2,0,
2020-09-06,West Bengal,Jhargram,301,256,2,0,
2020-09-07,West Bengal,Jhargram,306,261,2,0,
2020-09-08,West Bengal,Jhargram,310,264,2,0,
