Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,West Bengal,Kalimpong,7,0,0,0,
2020-04-27,West Bengal,Kalimpong,7,0,0,0,
2020-04-28,West Bengal,Kalimpong,7,0,0,0,
2020-04-29,West Bengal,Kalimpong,7,0,0,0,
2020-04-30,West Bengal,Kalimpong,7,0,0,0,
2020-05-01,West Bengal,Kalimpong,7,0,0,0,
2020-05-02,West Bengal,Kalimpong,7,0,0,0,
2020-05-03,West Bengal,Kalimpong,7,6,1,0,
2020-05-04,West Bengal,Kalimpong,7,6,1,0,
2020-05-05,West Bengal,Kalimpong,7,6,1,0,
2020-05-06,West Bengal,Kalimpong,7,6,1,0,
2020-05-07,West Bengal,Kalimpong,7,6,1,0,
2020-05-08,West Bengal,Kalimpong,7,6,1,0,
2020-05-09,West Bengal,Kalimpong,7,6,1,0,
2020-05-10,West Bengal,Kalimpong,7,6,1,0,
2020-05-11,West Bengal,Kalimpong,7,6,1,0,
2020-05-12,West Bengal,Kalimpong,7,6,1,0,
2020-05-13,West Bengal,Kalimpong,7,6,1,0,
2020-05-14,West Bengal,Kalimpong,7,6,1,0,
2020-05-15,West Bengal,Kalimpong,7,6,1,0,
2020-05-16,West Bengal,Kalimpong,7,6,1,0,
2020-05-17,West Bengal,Kalimpong,7,6,1,0,
2020-05-18,West Bengal,Kalimpong,7,6,1,0,
2020-05-19,West Bengal,Kalimpong,7,6,1,0,
2020-05-20,West Bengal,Kalimpong,7,6,1,0,
2020-05-21,West Bengal,Kalimpong,7,6,1,0,
2020-05-22,West Bengal,Kalimpong,7,6,1,0,
2020-05-23,West Bengal,Kalimpong,7,6,1,0,
2020-05-24,West Bengal,Kalimpong,7,6,1,0,
2020-05-25,West Bengal,Kalimpong,7,6,1,0,
2020-05-26,West Bengal,Kalimpong,7,6,1,0,
2020-05-27,West Bengal,Kalimpong,7,6,1,0,
2020-05-28,West Bengal,Kalimpong,7,6,1,0,
2020-05-29,West Bengal,Kalimpong,7,6,1,0,
2020-05-30,West Bengal,Kalimpong,7,6,1,0,
2020-05-31,West Bengal,Kalimpong,7,6,1,0,
2020-06-01,West Bengal,Kalimpong,7,6,1,0,
2020-06-02,West Bengal,Kalimpong,7,6,1,0,
2020-06-03,West Bengal,Kalimpong,9,6,1,0,
2020-06-04,West Bengal,Kalimpong,9,6,1,0,
2020-06-05,West Bengal,Kalimpong,11,6,1,0,
2020-06-06,West Bengal,Kalimpong,11,6,1,0,
2020-06-07,West Bengal,Kalimpong,18,6,1,0,
2020-06-08,West Bengal,Kalimpong,18,7,1,0,
2020-06-09,West Bengal,Kalimpong,22,7,1,0,
2020-06-10,West Bengal,Kalimpong,23,7,1,0,
2020-06-11,West Bengal,Kalimpong,35,9,1,0,
2020-06-12,West Bengal,Kalimpong,39,15,1,0,
2020-06-13,West Bengal,Kalimpong,40,15,1,0,
2020-06-14,West Bengal,Kalimpong,45,16,1,0,
2020-06-15,West Bengal,Kalimpong,45,16,1,0,
2020-06-16,West Bengal,Kalimpong,46,24,1,0,
2020-06-17,West Bengal,Kalimpong,46,24,1,0,
2020-06-18,West Bengal,Kalimpong,46,26,1,0,
2020-06-19,West Bengal,Kalimpong,48,32,1,0,
2020-06-20,West Bengal,Kalimpong,50,36,1,0,
2020-06-21,West Bengal,Kalimpong,52,36,1,0,
2020-06-22,West Bengal,Kalimpong,52,38,1,0,
2020-06-23,West Bengal,Kalimpong,52,40,1,0,
2020-06-24,West Bengal,Kalimpong,52,41,1,0,
2020-06-25,West Bengal,Kalimpong,52,43,1,0,
2020-06-26,West Bengal,Kalimpong,52,44,1,0,
2020-06-27,West Bengal,Kalimpong,52,45,1,0,
2020-06-28,West Bengal,Kalimpong,52,45,1,0,
2020-06-29,West Bengal,Kalimpong,52,45,1,0,
2020-06-30,West Bengal,Kalimpong,52,46,1,0,
2020-07-01,West Bengal,Kalimpong,53,48,1,0,
2020-07-02,West Bengal,Kalimpong,55,48,1,0,
2020-07-03,West Bengal,Kalimpong,55,48,1,0,
2020-07-04,West Bengal,Kalimpong,56,48,1,0,
2020-07-05,West Bengal,Kalimpong,56,51,1,0,
2020-07-06,West Bengal,Kalimpong,56,51,1,0,
2020-07-07,West Bengal,Kalimpong,56,51,1,0,
2020-07-08,West Bengal,Kalimpong,56,52,1,0,
2020-07-09,West Bengal,Kalimpong,56,52,1,0,
2020-07-10,West Bengal,Kalimpong,56,52,1,0,
2020-07-11,West Bengal,Kalimpong,56,54,1,0,
2020-07-12,West Bengal,Kalimpong,57,54,1,0,
2020-07-13,West Bengal,Kalimpong,57,55,1,0,
2020-07-14,West Bengal,Kalimpong,59,55,1,0,
2020-07-15,West Bengal,Kalimpong,59,55,1,0,
2020-07-16,West Bengal,Kalimpong,59,55,1,0,
2020-07-17,West Bengal,Kalimpong,59,55,1,0,
2020-07-18,West Bengal,Kalimpong,63,55,1,0,
2020-07-19,West Bengal,Kalimpong,64,55,1,0,
2020-07-20,West Bengal,Kalimpong,64,56,1,0,
2020-07-21,West Bengal,Kalimpong,70,56,1,0,
2020-07-22,West Bengal,Kalimpong,73,58,1,0,
2020-07-23,West Bengal,Kalimpong,74,58,1,0,
2020-07-24,West Bengal,Kalimpong,74,58,1,0,
2020-07-25,West Bengal,Kalimpong,77,58,1,0,
2020-07-26,West Bengal,Kalimpong,82,63,1,0,
2020-07-27,West Bengal,Kalimpong,82,63,1,0,
2020-07-28,West Bengal,Kalimpong,82,65,1,0,
2020-07-29,West Bengal,Kalimpong,82,70,1,0,
2020-07-30,West Bengal,Kalimpong,85,71,1,0,
2020-07-31,West Bengal,Kalimpong,89,71,1,0,
2020-08-01,West Bengal,Kalimpong,93,74,1,0,
2020-08-02,West Bengal,Kalimpong,96,78,1,0,
2020-08-03,West Bengal,Kalimpong,98,78,1,0,
2020-08-04,West Bengal,Kalimpong,105,78,1,0,
2020-08-05,West Bengal,Kalimpong,111,78,1,0,
2020-08-06,West Bengal,Kalimpong,111,81,1,0,
2020-08-07,West Bengal,Kalimpong,112,87,1,0,
2020-08-08,West Bengal,Kalimpong,127,87,1,0,
2020-08-09,West Bengal,Kalimpong,133,91,1,0,
2020-08-10,West Bengal,Kalimpong,180,94,1,0,
2020-08-11,West Bengal,Kalimpong,188,101,1,0,
2020-08-12,West Bengal,Kalimpong,223,106,1,0,
2020-08-13,West Bengal,Kalimpong,245,107,1,0,
2020-08-14,West Bengal,Kalimpong,277,107,1,0,
2020-08-15,West Bengal,Kalimpong,284,107,1,0,
2020-08-16,West Bengal,Kalimpong,297,121,1,0,
2020-08-17,West Bengal,Kalimpong,314,145,1,0,
2020-08-18,West Bengal,Kalimpong,333,167,1,0,
2020-08-19,West Bengal,Kalimpong,350,204,1,0,
2020-08-20,West Bengal,Kalimpong,364,220,1,0,
2020-08-21,West Bengal,Kalimpong,382,256,1,0,
2020-08-22,West Bengal,Kalimpong,398,258,2,0,
2020-08-23,West Bengal,Kalimpong,402,275,3,0,
2020-08-24,West Bengal,Kalimpong,423,285,3,0,
2020-08-25,West Bengal,Kalimpong,429,320,3,0,
2020-08-26,West Bengal,Kalimpong,438,334,3,0,
2020-08-27,West Bengal,Kalimpong,444,352,3,0,
2020-08-28,West Bengal,Kalimpong,451,372,3,0,
2020-08-29,West Bengal,Kalimpong,455,390,3,0,
2020-08-30,West Bengal,Kalimpong,458,400,3,0,
2020-08-31,West Bengal,Kalimpong,470,403,3,0,
2020-09-01,West Bengal,Kalimpong,483,423,3,0,
2020-09-02,West Bengal,Kalimpong,490,433,3,0,
2020-09-03,West Bengal,Kalimpong,502,440,3,0,
2020-09-04,West Bengal,Kalimpong,512,447,3,0,
2020-09-05,West Bengal,Kalimpong,530,451,3,0,
2020-09-06,West Bengal,Kalimpong,534,465,3,0,
2020-09-07,West Bengal,Kalimpong,539,475,3,0,
2020-09-08,West Bengal,Kalimpong,551,484,3,0,
2020-09-09,West Bengal,Kalimpong,570,494,3,0,
2020-09-10,West Bengal,Kalimpong,579,501,3,0,
2020-09-11,West Bengal,Kalimpong,590,515,3,0,
2020-09-12,West Bengal,Kalimpong,610,521,3,0,
2020-09-13,West Bengal,Kalimpong,637,523,3,0,
2020-09-14,West Bengal,Kalimpong,658,537,3,0,
2020-09-15,West Bengal,Kalimpong,682,545,3,0,
2020-09-16,West Bengal,Kalimpong,698,563,3,0,
2020-09-17,West Bengal,Kalimpong,712,569,3,0,
2020-09-18,West Bengal,Kalimpong,732,590,3,0,
2020-09-19,West Bengal,Kalimpong,751,602,4,0,
2020-09-20,West Bengal,Kalimpong,775,628,4,0,
2020-09-21,West Bengal,Kalimpong,791,641,4,0,
2020-09-22,West Bengal,Kalimpong,823,666,5,0,
2020-09-23,West Bengal,Kalimpong,839,677,7,0,
2020-09-24,West Bengal,Kalimpong,856,691,7,0,
2020-09-25,West Bengal,Kalimpong,876,708,7,0,
2020-09-26,West Bengal,Kalimpong,894,730,7,0,
2020-09-27,West Bengal,Kalimpong,914,758,7,0,
2020-09-28,West Bengal,Kalimpong,936,773,7,0,
2020-09-29,West Bengal,Kalimpong,954,801,7,0,
2020-09-30,West Bengal,Kalimpong,975,815,7,0,
2020-10-01,West Bengal,Kalimpong,991,830,7,0,
2020-10-02,West Bengal,Kalimpong,1004,850,7,0,
2020-10-03,West Bengal,Kalimpong,1019,871,7,0,
2020-10-04,West Bengal,Kalimpong,1031,871,7,0,
2020-10-05,West Bengal,Kalimpong,1041,892,7,0,
2020-10-06,West Bengal,Kalimpong,1059,911,7,0,
2020-10-07,West Bengal,Kalimpong,1070,932,7,0,
2020-10-08,West Bengal,Kalimpong,1091,949,7,0,
2020-10-09,West Bengal,Kalimpong,1120,964,8,0,
2020-10-10,West Bengal,Kalimpong,1143,979,8,0,
2020-10-11,West Bengal,Kalimpong,1162,995,8,0,
2020-10-12,West Bengal,Kalimpong,1176,1009,8,0,
2020-10-13,West Bengal,Kalimpong,1198,1021,8,0,
2020-10-14,West Bengal,Kalimpong,1223,1040,9,0,
2020-10-15,West Bengal,Kalimpong,1246,1052,9,0,
2020-10-16,West Bengal,Kalimpong,1261,1071,11,0,
2020-10-17,West Bengal,Kalimpong,1271,1072,11,0,
2020-10-18,West Bengal,Kalimpong,1283,1105,11,0,
2020-10-19,West Bengal,Kalimpong,1290,1125,11,0,
2020-10-20,West Bengal,Kalimpong,1309,1139,11,0,
2020-10-21,West Bengal,Kalimpong,1322,1158,11,0,
2020-10-22,West Bengal,Kalimpong,1341,1166,11,0,
2020-10-23,West Bengal,Kalimpong,1349,1191,12,0,
2020-10-24,West Bengal,Kalimpong,1358,1221,12,0,
2020-10-25,West Bengal,Kalimpong,1378,1223,12,0,
2020-10-26,West Bengal,Kalimpong,1381,1246,13,0,
2020-10-27,West Bengal,Kalimpong,1381,1261,13,0,
2020-10-28,West Bengal,Kalimpong,1393,1271,13,0,
2020-10-29,West Bengal,Kalimpong,1393,1271,13,0,
