Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-03,West Bengal,Malda,2,0,0,0,
2020-05-04,West Bengal,Malda,2,0,0,0,
2020-05-05,West Bengal,Malda,2,0,0,0,
2020-05-06,West Bengal,Malda,2,0,0,0,
2020-05-07,West Bengal,Malda,3,0,0,0,
2020-05-08,West Bengal,Malda,3,0,0,0,
2020-05-09,West Bengal,Malda,7,0,0,0,
2020-05-10,West Bengal,Malda,10,0,0,0,
2020-05-11,West Bengal,Malda,13,0,0,0,
2020-05-12,West Bengal,Malda,19,0,0,0,
2020-05-13,West Bengal,Malda,19,0,0,0,
2020-05-14,West Bengal,Malda,19,0,0,0,
2020-05-15,West Bengal,Malda,19,0,0,0,
2020-05-16,West Bengal,Malda,25,0,0,0,
2020-05-17,West Bengal,Malda,25,0,0,0,
2020-05-18,West Bengal,Malda,34,0,0,0,
2020-05-19,West Bengal,Malda,45,10,0,0,
2020-05-20,West Bengal,Malda,46,10,0,0,
2020-05-21,West Bengal,Malda,46,10,0,0,
2020-05-22,West Bengal,Malda,48,12,0,0,
2020-05-23,West Bengal,Malda,50,12,0,0,
2020-05-24,West Bengal,Malda,81,12,0,0,
2020-05-25,West Bengal,Malda,115,12,0,0,
2020-05-26,West Bengal,Malda,115,15,0,0,
2020-05-27,West Bengal,Malda,115,19,0,0,
2020-05-28,West Bengal,Malda,125,38,0,0,
2020-05-29,West Bengal,Malda,125,38,0,0,
2020-05-30,West Bengal,Malda,137,39,0,0,
2020-05-31,West Bengal,Malda,139,40,0,0,
2020-06-01,West Bengal,Malda,142,58,0,0,
2020-06-02,West Bengal,Malda,143,73,0,0,
2020-06-03,West Bengal,Malda,153,77,0,0,
2020-06-04,West Bengal,Malda,158,84,0,0,
2020-06-05,West Bengal,Malda,192,92,0,0,
2020-06-06,West Bengal,Malda,205,97,0,0,
2020-06-07,West Bengal,Malda,226,108,0,0,
2020-06-08,West Bengal,Malda,231,111,0,0,
2020-06-09,West Bengal,Malda,233,113,0,0,
2020-06-10,West Bengal,Malda,235,121,0,0,
2020-06-11,West Bengal,Malda,243,144,0,0,
2020-06-12,West Bengal,Malda,253,173,0,0,
2020-06-13,West Bengal,Malda,255,177,0,0,
2020-06-14,West Bengal,Malda,265,192,0,0,
2020-06-15,West Bengal,Malda,321,192,0,0,
2020-06-16,West Bengal,Malda,331,192,0,0,
2020-06-17,West Bengal,Malda,338,199,0,0,
2020-06-18,West Bengal,Malda,355,202,0,0,
2020-06-19,West Bengal,Malda,368,202,0,0,
2020-06-20,West Bengal,Malda,385,216,0,0,
2020-06-21,West Bengal,Malda,389,220,0,0,
2020-06-22,West Bengal,Malda,435,282,0,0,
2020-06-23,West Bengal,Malda,461,288,0,0,
2020-06-24,West Bengal,Malda,469,291,0,0,
2020-06-25,West Bengal,Malda,489,297,0,0,
2020-06-26,West Bengal,Malda,513,330,0,0,
2020-06-27,West Bengal,Malda,533,330,1,0,
2020-06-28,West Bengal,Malda,584,337,1,0,
2020-06-29,West Bengal,Malda,612,353,1,0,
2020-06-30,West Bengal,Malda,646,369,1,0,
2020-07-01,West Bengal,Malda,676,393,1,0,
2020-07-02,West Bengal,Malda,706,437,1,0,
2020-07-03,West Bengal,Malda,740,445,2,0,
2020-07-04,West Bengal,Malda,780,466,3,0,
2020-07-05,West Bengal,Malda,817,506,4,0,
2020-07-06,West Bengal,Malda,859,524,4,0,
2020-07-07,West Bengal,Malda,909,592,4,0,
2020-07-08,West Bengal,Malda,954,661,6,0,
2020-07-09,West Bengal,Malda,1002,661,6,0,
2020-07-10,West Bengal,Malda,1051,661,7,0,
2020-07-11,West Bengal,Malda,1096,715,7,0,
2020-07-12,West Bengal,Malda,1155,762,7,0,
2020-07-13,West Bengal,Malda,1211,804,7,0,
2020-07-14,West Bengal,Malda,1263,804,7,0,
2020-07-15,West Bengal,Malda,1384,841,7,0,
2020-07-16,West Bengal,Malda,1453,887,7,0,
2020-07-17,West Bengal,Malda,1541,932,7,0,
2020-07-18,West Bengal,Malda,1626,1025,7,0,
2020-07-19,West Bengal,Malda,1715,1069,7,0,
2020-07-20,West Bengal,Malda,1796,1124,7,0,
2020-07-21,West Bengal,Malda,1855,1182,7,0,
2020-07-22,West Bengal,Malda,1885,1307,7,0,
2020-07-23,West Bengal,Malda,1941,1412,7,0,
2020-07-24,West Bengal,Malda,1993,1496,7,0,
2020-07-25,West Bengal,Malda,2017,1588,9,0,
2020-07-26,West Bengal,Malda,2053,1674,9,0,
2020-07-27,West Bengal,Malda,2110,1746,10,0,
2020-07-28,West Bengal,Malda,2129,1802,10,0,
2020-07-29,West Bengal,Malda,2165,1832,11,0,
2020-07-30,West Bengal,Malda,2265,1888,11,0,
2020-07-31,West Bengal,Malda,2287,1947,12,0,
2020-08-01,West Bengal,Malda,2399,1969,12,0,
2020-08-02,West Bengal,Malda,2498,2002,14,0,
2020-08-03,West Bengal,Malda,2555,2049,14,0,
2020-08-04,West Bengal,Malda,2606,2067,15,0,
2020-08-05,West Bengal,Malda,2750,2108,16,0,
2020-08-06,West Bengal,Malda,2802,2200,16,0,
2020-08-07,West Bengal,Malda,2898,2229,17,0,
2020-08-08,West Bengal,Malda,3020,2328,17,0,
2020-08-09,West Bengal,Malda,3058,2332,17,0,
2020-08-10,West Bengal,Malda,3170,2473,17,0,
2020-08-11,West Bengal,Malda,3287,2521,17,0,
2020-08-12,West Bengal,Malda,3377,2660,17,0,
2020-08-13,West Bengal,Malda,3585,2726,18,0,
2020-08-14,West Bengal,Malda,3643,2734,19,0,
2020-08-15,West Bengal,Malda,3779,2827,20,0,
2020-08-16,West Bengal,Malda,3894,2938,21,0,
2020-08-17,West Bengal,Malda,3978,3069,21,0,
2020-08-18,West Bengal,Malda,4032,3130,23,0,
2020-08-19,West Bengal,Malda,4102,3271,25,0,
2020-08-20,West Bengal,Malda,4180,3429,25,0,
2020-08-21,West Bengal,Malda,4296,3529,27,0,
2020-08-22,West Bengal,Malda,4406,3659,27,0,
2020-08-23,West Bengal,Malda,4508,3762,30,0,
2020-08-24,West Bengal,Malda,4565,3863,31,0,
2020-08-25,West Bengal,Malda,4628,3897,33,0,
2020-08-26,West Bengal,Malda,4664,4005,33,0,
2020-08-27,West Bengal,Malda,4695,4087,34,0,
2020-08-28,West Bengal,Malda,4781,4137,36,0,
2020-08-29,West Bengal,Malda,4865,4192,39,0,
2020-08-30,West Bengal,Malda,4922,4296,39,0,
2020-08-31,West Bengal,Malda,4978,4478,39,0,
2020-09-01,West Bengal,Malda,5004,4546,39,0,
2020-09-02,West Bengal,Malda,5038,4583,39,0,
2020-09-03,West Bengal,Malda,5069,4621,39,0,
2020-09-04,West Bengal,Malda,5119,4709,39,0,
2020-09-05,West Bengal,Malda,5138,4808,39,0,
2020-09-06,West Bengal,Malda,5190,4861,39,0,
