Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,West Bengal,Murshidabad,2,0,0,0,
2020-04-27,West Bengal,Murshidabad,2,0,0,0,
2020-04-28,West Bengal,Murshidabad,2,0,0,0,
2020-04-29,West Bengal,Murshidabad,2,0,0,0,
2020-04-30,West Bengal,Murshidabad,2,0,0,0,
2020-05-01,West Bengal,Murshidabad,2,0,0,0,
2020-05-02,West Bengal,Murshidabad,2,0,0,0,
2020-05-03,West Bengal,Murshidabad,2,0,1,0,
2020-05-04,West Bengal,Murshidabad,2,0,1,0,
2020-05-05,West Bengal,Murshidabad,1,0,1,0,
2020-05-06,West Bengal,Murshidabad,1,0,1,0,
2020-05-07,West Bengal,Murshidabad,1,0,1,0,
2020-05-08,West Bengal,Murshidabad,1,0,1,0,
2020-05-09,West Bengal,Murshidabad,1,0,1,0,
2020-05-10,West Bengal,Murshidabad,1,0,1,0,
2020-05-11,West Bengal,Murshidabad,5,0,1,0,
2020-05-12,West Bengal,Murshidabad,5,0,1,0,
2020-05-13,West Bengal,Murshidabad,5,0,1,0,
2020-05-14,West Bengal,Murshidabad,5,0,1,0,
2020-05-15,West Bengal,Murshidabad,5,0,1,0,
2020-05-16,West Bengal,Murshidabad,5,0,1,0,
2020-05-17,West Bengal,Murshidabad,9,4,1,0,
2020-05-18,West Bengal,Murshidabad,9,4,1,0,
2020-05-19,West Bengal,Murshidabad,12,4,1,0,
2020-05-20,West Bengal,Murshidabad,12,4,1,0,
2020-05-21,West Bengal,Murshidabad,16,4,1,0,
2020-05-22,West Bengal,Murshidabad,28,4,1,0,
2020-05-23,West Bengal,Murshidabad,35,7,1,0,
2020-05-24,West Bengal,Murshidabad,44,8,1,0,
2020-05-25,West Bengal,Murshidabad,49,8,1,0,
2020-05-26,West Bengal,Murshidabad,62,8,2,0,
2020-05-27,West Bengal,Murshidabad,69,8,2,0,
2020-05-28,West Bengal,Murshidabad,76,8,2,0,
2020-05-29,West Bengal,Murshidabad,78,12,2,0,
2020-05-30,West Bengal,Murshidabad,83,33,2,0,
2020-05-31,West Bengal,Murshidabad,94,44,2,0,
2020-06-01,West Bengal,Murshidabad,98,50,2,0,
2020-06-02,West Bengal,Murshidabad,103,56,2,0,
2020-06-03,West Bengal,Murshidabad,108,65,2,0,
2020-06-04,West Bengal,Murshidabad,108,74,2,0,
2020-06-05,West Bengal,Murshidabad,112,77,2,0,
2020-06-06,West Bengal,Murshidabad,120,78,2,0,
2020-06-07,West Bengal,Murshidabad,122,92,2,0,
2020-06-08,West Bengal,Murshidabad,129,95,2,0,
2020-06-09,West Bengal,Murshidabad,145,101,2,0,
2020-06-10,West Bengal,Murshidabad,149,103,3,0,
2020-06-11,West Bengal,Murshidabad,155,103,3,0,
2020-06-12,West Bengal,Murshidabad,156,106,3,0,
2020-06-13,West Bengal,Murshidabad,162,109,3,0,
2020-06-14,West Bengal,Murshidabad,166,109,3,0,
2020-06-15,West Bengal,Murshidabad,174,114,3,0,
2020-06-16,West Bengal,Murshidabad,176,115,3,0,
2020-06-17,West Bengal,Murshidabad,179,122,3,0,
2020-06-18,West Bengal,Murshidabad,181,136,3,0,
2020-06-19,West Bengal,Murshidabad,183,139,3,0,
2020-06-20,West Bengal,Murshidabad,185,146,3,0,
2020-06-21,West Bengal,Murshidabad,192,147,3,0,
2020-06-22,West Bengal,Murshidabad,202,154,3,0,
2020-06-23,West Bengal,Murshidabad,206,157,3,0,
2020-06-24,West Bengal,Murshidabad,208,159,3,0,
2020-06-25,West Bengal,Murshidabad,213,167,3,0,
2020-06-26,West Bengal,Murshidabad,220,173,3,0,
2020-06-27,West Bengal,Murshidabad,222,173,3,0,
2020-06-28,West Bengal,Murshidabad,224,174,4,0,
2020-06-29,West Bengal,Murshidabad,228,176,4,0,
2020-06-30,West Bengal,Murshidabad,236,178,4,0,
2020-07-01,West Bengal,Murshidabad,243,194,4,0,
2020-07-02,West Bengal,Murshidabad,255,195,4,0,
2020-07-03,West Bengal,Murshidabad,256,200,4,0,
2020-07-04,West Bengal,Murshidabad,270,204,4,0,
2020-07-05,West Bengal,Murshidabad,276,214,4,0,
2020-07-06,West Bengal,Murshidabad,283,216,4,0,
2020-07-07,West Bengal,Murshidabad,294,218,4,0,
2020-07-08,West Bengal,Murshidabad,300,222,4,0,
2020-07-09,West Bengal,Murshidabad,309,230,4,0,
2020-07-10,West Bengal,Murshidabad,322,237,4,0,
2020-07-11,West Bengal,Murshidabad,339,249,4,0,
2020-07-12,West Bengal,Murshidabad,357,252,5,0,
2020-07-13,West Bengal,Murshidabad,377,268,5,0,
2020-07-14,West Bengal,Murshidabad,385,269,5,0,
2020-07-15,West Bengal,Murshidabad,402,276,5,0,
2020-07-16,West Bengal,Murshidabad,420,286,5,0,
2020-07-17,West Bengal,Murshidabad,436,291,5,0,
2020-07-18,West Bengal,Murshidabad,475,310,5,0,
2020-07-19,West Bengal,Murshidabad,482,327,5,0,
2020-07-20,West Bengal,Murshidabad,530,342,5,0,
2020-07-21,West Bengal,Murshidabad,540,362,5,0,
2020-07-22,West Bengal,Murshidabad,561,373,5,0,
2020-07-23,West Bengal,Murshidabad,592,398,5,0,
2020-07-24,West Bengal,Murshidabad,597,415,6,0,
2020-07-25,West Bengal,Murshidabad,618,421,7,0,
2020-07-26,West Bengal,Murshidabad,645,455,7,0,
2020-07-27,West Bengal,Murshidabad,684,499,7,0,
2020-07-28,West Bengal,Murshidabad,714,511,7,0,
2020-07-29,West Bengal,Murshidabad,744,530,7,0,
2020-07-30,West Bengal,Murshidabad,780,541,9,0,
2020-07-31,West Bengal,Murshidabad,814,565,11,0,
2020-08-01,West Bengal,Murshidabad,856,583,12,0,
2020-08-02,West Bengal,Murshidabad,868,611,12,0,
2020-08-03,West Bengal,Murshidabad,958,646,12,0,
2020-08-04,West Bengal,Murshidabad,1012,673,13,0,
2020-08-05,West Bengal,Murshidabad,1051,706,13,0,
2020-08-06,West Bengal,Murshidabad,1097,737,14,0,
2020-08-07,West Bengal,Murshidabad,1197,772,15,0,
2020-08-08,West Bengal,Murshidabad,1258,775,15,0,
2020-08-09,West Bengal,Murshidabad,1337,814,15,0,
2020-08-10,West Bengal,Murshidabad,1410,910,17,0,
2020-08-11,West Bengal,Murshidabad,1472,965,22,0,
2020-08-12,West Bengal,Murshidabad,1581,1000,22,0,
2020-08-13,West Bengal,Murshidabad,1747,1045,22,0,
2020-08-14,West Bengal,Murshidabad,1815,1059,23,0,
2020-08-15,West Bengal,Murshidabad,1855,1161,24,0,
2020-08-16,West Bengal,Murshidabad,1963,1234,24,0,
2020-08-17,West Bengal,Murshidabad,2087,1312,24,0,
2020-08-18,West Bengal,Murshidabad,2196,1379,26,0,
2020-08-19,West Bengal,Murshidabad,2317,1465,29,0,
