Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,West Bengal,North 24 Parganas,47,0,0,0,
2020-04-27,West Bengal,North 24 Parganas,47,0,0,0,
2020-04-28,West Bengal,North 24 Parganas,47,0,0,0,
2020-04-29,West Bengal,North 24 Parganas,47,0,0,0,
2020-04-30,West Bengal,North 24 Parganas,47,0,0,0,
2020-05-01,West Bengal,North 24 Parganas,47,0,0,0,
2020-05-02,West Bengal,North 24 Parganas,47,0,0,0,
2020-05-03,West Bengal,North 24 Parganas,169,34,18,0,
2020-05-04,West Bengal,North 24 Parganas,178,36,18,0,
2020-05-05,West Bengal,North 24 Parganas,187,38,18,0,
2020-05-06,West Bengal,North 24 Parganas,202,38,19,0,
2020-05-07,West Bengal,North 24 Parganas,220,48,21,0,
2020-05-08,West Bengal,North 24 Parganas,232,49,21,0,
2020-05-09,West Bengal,North 24 Parganas,243,55,23,0,
2020-05-10,West Bengal,North 24 Parganas,251,57,25,0,
2020-05-11,West Bengal,North 24 Parganas,273,68,27,0,
2020-05-12,West Bengal,North 24 Parganas,288,79,28,0,
2020-05-13,West Bengal,North 24 Parganas,301,94,29,0,
2020-05-14,West Bengal,North 24 Parganas,317,102,29,0,
2020-05-15,West Bengal,North 24 Parganas,321,114,32,0,
2020-05-16,West Bengal,North 24 Parganas,336,129,32,0,
2020-05-17,West Bengal,North 24 Parganas,355,133,32,0,
2020-05-18,West Bengal,North 24 Parganas,381,143,32,0,
2020-05-19,West Bengal,North 24 Parganas,396,146,32,0,
2020-05-20,West Bengal,North 24 Parganas,420,153,33,0,
2020-05-21,West Bengal,North 24 Parganas,430,156,35,0,
2020-05-22,West Bengal,North 24 Parganas,437,157,37,0,
2020-05-23,West Bengal,North 24 Parganas,445,161,37,0,
2020-05-24,West Bengal,North 24 Parganas,466,169,37,0,
2020-05-25,West Bengal,North 24 Parganas,480,179,38,0,
2020-05-26,West Bengal,North 24 Parganas,504,185,38,0,
2020-05-27,West Bengal,North 24 Parganas,540,200,39,0,
2020-05-28,West Bengal,North 24 Parganas,591,206,40,0,
2020-05-29,West Bengal,North 24 Parganas,645,221,41,0,
2020-05-30,West Bengal,North 24 Parganas,675,253,42,0,
2020-05-31,West Bengal,North 24 Parganas,735,274,43,0,
2020-06-01,West Bengal,North 24 Parganas,753,289,44,0,
2020-06-02,West Bengal,North 24 Parganas,827,302,45,0,
2020-06-03,West Bengal,North 24 Parganas,869,303,45,0,
2020-06-04,West Bengal,North 24 Parganas,910,318,47,0,
2020-06-05,West Bengal,North 24 Parganas,975,343,49,0,
2020-06-06,West Bengal,North 24 Parganas,1035,362,53,0,
2020-06-07,West Bengal,North 24 Parganas,1103,388,56,0,
2020-06-08,West Bengal,North 24 Parganas,1158,400,58,0,
2020-06-09,West Bengal,North 24 Parganas,1186,411,59,0,
2020-06-10,West Bengal,North 24 Parganas,1258,431,63,0,
2020-06-11,West Bengal,North 24 Parganas,1325,457,65,0,
2020-06-12,West Bengal,North 24 Parganas,1424,472,65,0,
2020-06-13,West Bengal,North 24 Parganas,1493,505,70,0,
2020-06-14,West Bengal,North 24 Parganas,1563,787,71,0,
2020-06-15,West Bengal,North 24 Parganas,1619,802,74,0,
2020-06-16,West Bengal,North 24 Parganas,1689,874,77,0,
