Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-04-27,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-04-28,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-04-29,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-04-30,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-05-01,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-05-02,West Bengal,Paschim Bardhaman,7,0,0,0,
2020-05-03,West Bengal,Paschim Bardhaman,10,3,2,0,
2020-05-04,West Bengal,Paschim Bardhaman,10,3,2,0,
2020-05-05,West Bengal,Paschim Bardhaman,10,3,2,0,
2020-05-06,West Bengal,Paschim Bardhaman,11,3,2,0,
2020-05-07,West Bengal,Paschim Bardhaman,11,6,2,0,
2020-05-08,West Bengal,Paschim Bardhaman,12,6,2,0,
2020-05-09,West Bengal,Paschim Bardhaman,12,7,2,0,
2020-05-10,West Bengal,Paschim Bardhaman,13,7,2,0,
2020-05-11,West Bengal,Paschim Bardhaman,14,7,2,0,
2020-05-12,West Bengal,Paschim Bardhaman,14,7,2,0,
2020-05-13,West Bengal,Paschim Bardhaman,14,7,2,0,
2020-05-14,West Bengal,Paschim Bardhaman,17,9,2,0,
2020-05-15,West Bengal,Paschim Bardhaman,17,9,2,0,
2020-05-16,West Bengal,Paschim Bardhaman,17,9,2,0,
2020-05-17,West Bengal,Paschim Bardhaman,17,10,2,0,
2020-05-18,West Bengal,Paschim Bardhaman,18,10,2,0,
2020-05-19,West Bengal,Paschim Bardhaman,19,10,2,0,
2020-05-20,West Bengal,Paschim Bardhaman,19,10,2,0,
2020-05-21,West Bengal,Paschim Bardhaman,20,10,2,0,
2020-05-22,West Bengal,Paschim Bardhaman,20,10,2,0,
2020-05-23,West Bengal,Paschim Bardhaman,21,10,2,0,
2020-05-24,West Bengal,Paschim Bardhaman,22,10,2,0,
2020-05-25,West Bengal,Paschim Bardhaman,29,10,2,0,
2020-05-26,West Bengal,Paschim Bardhaman,39,10,2,0,
2020-05-27,West Bengal,Paschim Bardhaman,41,10,2,0,
2020-05-28,West Bengal,Paschim Bardhaman,42,10,2,0,
2020-05-29,West Bengal,Paschim Bardhaman,47,10,2,0,
2020-05-30,West Bengal,Paschim Bardhaman,48,19,2,0,
2020-05-31,West Bengal,Paschim Bardhaman,54,20,2,0,
2020-06-01,West Bengal,Paschim Bardhaman,56,22,2,0,
2020-06-02,West Bengal,Paschim Bardhaman,56,22,2,0,
2020-06-03,West Bengal,Paschim Bardhaman,57,22,2,0,
2020-06-04,West Bengal,Paschim Bardhaman,66,28,2,0,
2020-06-05,West Bengal,Paschim Bardhaman,67,29,2,0,
2020-06-06,West Bengal,Paschim Bardhaman,67,35,2,0,
2020-06-07,West Bengal,Paschim Bardhaman,70,38,2,0,
2020-06-08,West Bengal,Paschim Bardhaman,82,40,2,0,
2020-06-09,West Bengal,Paschim Bardhaman,84,40,2,0,
2020-06-10,West Bengal,Paschim Bardhaman,90,44,2,0,
2020-06-11,West Bengal,Paschim Bardhaman,99,44,2,0,
2020-06-12,West Bengal,Paschim Bardhaman,102,56,2,0,
2020-06-13,West Bengal,Paschim Bardhaman,102,57,2,0,
2020-06-14,West Bengal,Paschim Bardhaman,106,57,2,0,
2020-06-15,West Bengal,Paschim Bardhaman,110,60,2,0,
2020-06-16,West Bengal,Paschim Bardhaman,110,61,2,0,
2020-06-17,West Bengal,Paschim Bardhaman,115,64,2,0,
2020-06-18,West Bengal,Paschim Bardhaman,118,72,2,0,
2020-06-19,West Bengal,Paschim Bardhaman,118,75,2,0,
2020-06-20,West Bengal,Paschim Bardhaman,120,75,2,0,
2020-06-21,West Bengal,Paschim Bardhaman,120,75,3,0,
2020-06-22,West Bengal,Paschim Bardhaman,123,91,3,0,
2020-06-23,West Bengal,Paschim Bardhaman,123,97,3,0,
2020-06-24,West Bengal,Paschim Bardhaman,124,101,3,0,
