Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,West Bengal,Unknown,223,105,20,0,
2020-04-27,West Bengal,Unknown,261,105,20,0,
2020-04-28,West Bengal,Unknown,309,109,22,0,
2020-04-29,West Bengal,Unknown,337,119,22,0,
2020-04-30,West Bengal,Unknown,370,124,33,0,
2020-05-01,West Bengal,Unknown,407,139,41,0,
2020-05-02,West Bengal,Unknown,534,151,48,0,
2020-05-03,West Bengal,Unknown,0,-67,-11,0,
2020-05-04,West Bengal,Unknown,0,0,0,0,
2020-05-21,West Bengal,Unknown,11,0,0,0,
2020-05-22,West Bengal,Unknown,11,0,0,0,
2020-05-23,West Bengal,Unknown,11,0,0,0,
2020-05-24,West Bengal,Unknown,11,0,0,0,
2020-05-25,West Bengal,Unknown,11,0,0,0,
2020-05-26,West Bengal,Unknown,15,0,0,0,
2020-05-27,West Bengal,Unknown,15,0,0,0,
2020-05-28,West Bengal,Unknown,0,0,0,0,
