Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-05-10,West Bengal,Uttar Dinajpur,3,0,0,0,
2020-05-11,West Bengal,Uttar Dinajpur,3,0,0,0,
2020-05-12,West Bengal,Uttar Dinajpur,3,0,0,0,
2020-05-13,West Bengal,Uttar Dinajpur,4,0,0,0,
2020-05-14,West Bengal,Uttar Dinajpur,4,0,0,0,
2020-05-15,West Bengal,Uttar Dinajpur,5,0,0,0,
2020-05-16,West Bengal,Uttar Dinajpur,5,0,0,0,
2020-05-17,West Bengal,Uttar Dinajpur,8,0,0,0,
2020-05-18,West Bengal,Uttar Dinajpur,10,0,0,0,
2020-05-19,West Bengal,Uttar Dinajpur,13,0,0,0,
2020-05-20,West Bengal,Uttar Dinajpur,16,0,0,0,
2020-05-21,West Bengal,Uttar Dinajpur,16,0,0,0,
2020-05-22,West Bengal,Uttar Dinajpur,16,3,0,0,
2020-05-23,West Bengal,Uttar Dinajpur,20,3,0,0,
2020-05-24,West Bengal,Uttar Dinajpur,33,3,0,0,
2020-05-25,West Bengal,Uttar Dinajpur,46,3,0,0,
2020-05-26,West Bengal,Uttar Dinajpur,47,7,0,0,
2020-05-27,West Bengal,Uttar Dinajpur,47,7,0,0,
2020-05-28,West Bengal,Uttar Dinajpur,93,10,0,0,
2020-05-29,West Bengal,Uttar Dinajpur,116,10,0,0,
2020-05-30,West Bengal,Uttar Dinajpur,154,28,0,0,
2020-05-31,West Bengal,Uttar Dinajpur,154,29,0,0,
2020-06-01,West Bengal,Uttar Dinajpur,159,29,0,0,
2020-06-02,West Bengal,Uttar Dinajpur,166,30,0,0,
2020-06-03,West Bengal,Uttar Dinajpur,166,148,0,0,
2020-06-04,West Bengal,Uttar Dinajpur,173,151,0,0,
2020-06-05,West Bengal,Uttar Dinajpur,202,153,0,0,
2020-06-06,West Bengal,Uttar Dinajpur,204,153,0,0,
2020-06-07,West Bengal,Uttar Dinajpur,207,156,0,0,
2020-06-08,West Bengal,Uttar Dinajpur,207,156,0,0,
2020-06-09,West Bengal,Uttar Dinajpur,207,156,0,0,
2020-06-10,West Bengal,Uttar Dinajpur,209,197,0,0,
2020-06-11,West Bengal,Uttar Dinajpur,214,197,0,0,
2020-06-12,West Bengal,Uttar Dinajpur,214,198,0,0,
2020-06-13,West Bengal,Uttar Dinajpur,215,198,0,0,
2020-06-14,West Bengal,Uttar Dinajpur,219,198,0,0,
2020-06-15,West Bengal,Uttar Dinajpur,227,200,0,0,
2020-06-16,West Bengal,Uttar Dinajpur,228,201,0,0,
2020-06-17,West Bengal,Uttar Dinajpur,228,204,0,0,
